id,name,lat,lng,brand_name,brand_id,number_of_votes,rating,cost_for_two
19763909,Al Makki's Restaurant,13.0301159647,77.5622541457,Al Makki's Restaurant,zomato_al_makki's_restaurant,41,3.6,800
20367455,Horizon,13.0122863,77.5562248,N_A,N_A,26,3.9,2300
51422,Nandhini Deluxe,13.0313134362,77.5702521577,Nandhini Deluxe,zomato_nandhini_deluxe,14400,4.0,800
53568,1947,12.9836126178,77.5486278534,N_A,N_A,1225,4.0,1000
18728530,Mayura 1989,12.9761505732,77.5527336448,N_A,N_A,2134,4.0,1100
53084,Pulimunchi,13.0067448384,77.5791597739,N_A,N_A,1182,4.0,1000
18720661,Hyderabad Biryani House,12.9939777578,77.5715154782,N_A,N_A,6313,4.1,800
19074753,AB's - Absolute Barbecues,13.0252247591,77.5484618917,AB's - Absolute Barbecues,zomato_ab's_-_absolute_barbecues,2245,4.1,1400
19099523,Vijayanagar Nalapak,12.996647,77.567601,N_A,N_A,9,3.2,300
19520539,Nandhitha Foods,13.0301123716,77.5630980358,N_A,N_A,61,3.1,300
18669094,Biriyani Treat,12.9964393619,77.5462634861,N_A,N_A,449,3.6,300
61647,Ganesh Food Joint,13.0033990192,77.5652622432,Ganesh Food Joint,zomato_ganesh_food_joint,5626,3.5,300
18414352,Donne Biryani Angadi Mane,13.006183,77.578935,Donne Biryani Angadi Mane,zomato_donne_biryani_angadi_mane,2935,3.5,300
57748,Zam Zam Kabab House,13.0298677,77.5620311,Zam Zam Kabab House,zomato_zam_zam_kabab_house,12200,3.4,300
18871031,Yumjar,12.9918284488,77.5367688015,N_A,N_A,109,3.6,300
19230275,Baskin Robbins,13.0290174607,77.5707654655,Baskin Robbins,zomato_baskin_robbins,781,3.7,400
52361,Glacier - Citrine Hotel,12.986668267,77.5744662434,N_A,N_A,39,3.2,1000
52645,Swathi Greenland,12.9780226396,77.5425905362,N_A,N_A,1699,3.7,800
19605255,Amogha Sagar Grand,12.9869374681,77.5399311259,N_A,N_A,250,3.7,300
50373,Domino's Pizza,12.9917170462,77.5376475602,Domino's Pizza,zomato_domino's_pizza,12500,4.1,400
18232670,Amma's Pastries,13.0400101201,77.5188395754,Amma's Pastries,zomato_amma's_pastries,2047,4.1,400
50818,Polar Bear,13.028080315,77.573226057,Polar Bear,zomato_polar_bear,8231,4.3,350
19136175,Burger King,13.0114936549,77.5545719638,Burger King,zomato_burger_king,5525,4.1,400
18679403,Bangarpet Chats,12.9861109152,77.556380108,N_A,N_A,1815,3.7,150
19510179,K C Das,12.999702624,77.5713414699,N_A,N_A,197,3.7,300
18960743,Just Bake,12.9855365737,77.5372982025,Just Bake,zomato_just_bake,8,3.2,300
19463666,Simply Chats,12.9998430978,77.5399670005,Simply Chats,zomato_simply_chats,470,3.4,300
18419851,New Shanthi Sagar,12.9734760749,77.5418854505,New Shanthi Sagar,zomato_new_shanthi_sagar,2255,3.5,500
18418536,Baskin Robbins,12.9916369,77.5381724,Baskin Robbins,zomato_baskin_robbins,806,4.0,400
19202277,Five Star Chicken,12.973649562,77.5516500324,Five Star Chicken,zomato_five_star_chicken,26,3.9,300
19727521,Glen's Bakehouse,13.0280504,77.5729675,N_A,N_A,2358,3.4,500
57811,Ragoo's Kitchen,13.0083079692,77.5430267304,N_A,N_A,2066,3.3,500
19841745,Michael's Icecream Burger,12.9882880431,77.5373505056,N_A,N_A,7,3.3,500
19133043,Paakashala,13.00582,77.57136,Paakashala,zomato_paakashala,8230,4.1,250
51967,Halli Mane,12.9955390089,77.5717183203,Halli Mane,zomato_halli_mane,4624,4.1,250
61443,Aastha Bengali Mess,13.02178,77.558734,Aastha Bengali Mess,zomato_aastha_bengali_mess,8652,4.0,250
18232657,McDonald's,12.9885366605,77.5375499949,McDonald's,zomato_mcdonald's,9174,3.8,400
53819,Cookie Man,13.0115132549,77.5544904917,Cookie Man,zomato_cookie_man,203,3.6,400
18790632,Banashankari Biryani Mane,12.9918124408,77.5368559733,N_A,N_A,7,3.1,400
50251,Chicken County,13.0380931196,77.5650101155,N_A,N_A,5885,3.6,400
19011671,Malugudi's Donne Biriyani,13.0301146581,77.5595484674,N_A,N_A,606,3.7,400
19695256,GR Iyengar Fast Food,13.0020828279,77.5710454211,N_A,N_A,98,3.8,100
18679418,Davanagere Bene Dosa Hotel,13.0085281461,77.5439601392,N_A,N_A,21,3.5,100
55076,New Shanthi Sagar,13.0041542989,77.5713267177,New Shanthi Sagar,zomato_new_shanthi_sagar,132,3.6,600
19944362,Pizza Hut,12.9806565166,77.5637493026,Pizza Hut,zomato_pizza_hut,710,3.5,600
18562416,Hotel New Panchavati,12.9727354043,77.5379315391,N_A,N_A,1945,3.5,600
18567870,Nebula,13.0120382096,77.5562456623,N_A,N_A,29,3.5,700
19528070,Shanti Tiffin House,12.988473281,77.5584480911,N_A,N_A,52,3.8,250
20219852,Mad Over Donuts,13.038817,77.564599,Mad Over Donuts,zomato_mad_over_donuts,52,3.7,250
19676077,Crunchy Mojo,13.0299485,77.5625669,N_A,N_A,46,3.6,250
18885062,Karnataka Biryani Point,13.0011351266,77.5370433927,Karnataka Biryani Point,zomato_karnataka_biryani_point,2112,3.7,250
19840378,India Sweet House,13.0019145875,77.5714091957,N_A,N_A,13,4.0,400
18422900,Sri Maruthi Miltry Hotel,13.0002867332,77.5525090098,Sri Maruthi Miltry Hotel,zomato_sri_maruthi_miltry_hotel,9636,3.8,400
19854571,The Ice Cream Spot,12.9973277429,77.5475040753,N_A,N_A,32,4.0,400
18834051,Nammura Baduta,12.9986518517,77.5822477969,Nammura Baduta,zomato_nammura_baduta,1983,3.9,400
56479,Krispy Kreme,12.9913099852,77.5709951296,Krispy Kreme,zomato_krispy_kreme,1391,4.0,400
18737637,Cravingz,12.9918382496,77.5702417642,N_A,N_A,15,3.9,400
19062995,Happy Platter,12.9960878457,77.5546162203,N_A,N_A,2644,4.0,400
53382,Domino's Pizza,13.0037345179,77.5534343719,Domino's Pizza,zomato_domino's_pizza,9943,4.1,400
59797,Hotel Prashanth,12.9882893499,77.5542655215,N_A,N_A,942,4.0,400
60535,New Fish Land,12.9972358252,77.5718990341,N_A,N_A,91,3.9,400
58951,Kanti Sweets,13.0047233705,77.5711872429,Kanti Sweets,zomato_kanti_sweets,2899,4.2,400
19611170,Rolls Raaja,13.0010668501,77.5530749559,N_A,N_A,69,3.9,400
