"id_1","id_2","cid_1","cid_2","source_1","source_2","name_1","number_of_votes_1","created_at_1","name_2","number_of_votes_2","created_at_2","service_options_1","service_options_2","brand_id_1","brand_id_2"
"ChIJCUd25cQ9rjsRBu0LbXGnjhI","19146714","0x3bae3dc4e5764709:0x128ea7716d0bed06","19146714","gmaps_v2","zomato","Wow Momo","148","1699615207","WOW! Momo","3499","1688639100","[]","[dining, delivery]","wowmomo","zomato_wow!_momo"
"ChIJ0XdUYiMWrjsRvR1i9JWU0P0","51770","0x3bae1623625477d1:0xfdd09495f4621dbd","51770","gmaps_v2","zomato","Pizza Hut","2468","1699615207","Pizza Hut","3541","1688639100","[]","[dining, delivery]","pizzahut","N_A"
"ChIJu6R2eGE9rjsRuxdFtk6QGiQ","18552869","0x3bae3d617876a4bb:0x241a904eb64517bb","18552869","gmaps_v2","zomato","Pavilion Restaurant","412","1699615207","Pavilion Restaurant","175","1688639100","[]","[dining, delivery]","comfortinn-insys","N_A"
"ChIJ_R2j7r89rjsRehSiSUn8KzI","18756010","0x3bae3dbfeea31dfd:0x322bfc4949a2147a","18756010","gmaps_v2","zomato","Tango Sandwich King","2","1699615207","Tango Sandwich King","3389","1688639100","[]","[dining, delivery]",,"zomato_tango_sandwich_king"
"ChIJkyKwg-Q9rjsRVyslG7094Pw","18502138","0x3bae3de483b02293:0xfce03dbd1b252b57","18502138","gmaps_v2","zomato","F.M BIRIYANI PARADISE","41","1699615207","F.M Biryani Paradise","5","1688639100","[]","[dining]",,"N_A"
"ChIJW-XKxdI9rjsRk0v78ew2kio","19252583","0x3bae3dd2c5cae55b:0x2a9236ecf1fb4b93","19252583","gmaps_v2","zomato","Ayodhya Food Corner","338","1687847039","Ayodhya Food Corner","96","1688639100","[]","[dining, delivery]","nan","N_A"
"ChIJ-SQF8KI9rjsRhcmpXj62U7Y","20425684","0x3bae3da2f00524f9:0xb653b63e5ea9c985","20425684","gmaps_v2","zomato","Five Star Chicken","181","1699615207","Five Star Chicken","0","1688639100","[]","[dining, delivery]","fivestarchicken","zomato_five_star_chicken"
"ChIJAYqUric9rjsRHsoBbiNRs9s","18232670","0x3bae3d27ae948a01:0xdbb351236e01ca1e","18232670","gmaps_v2","zomato","Amma's Pastries","2813","1687847039","Amma's Pastries","2047","1688639100","[]","[dining, delivery]","ammaspastries","zomato_amma's_pastries"
"ChIJocLqnCQWrjsRxKZBW8o4kao","18547241","0x3bae16249ceac2a1:0xaa9138ca5b41a6c4","18547241","gmaps_v2","zomato","Donne Biryani House","2057","1699615207","Donne Biryani House","7055","1688639100","[]","[dining, delivery]",,"zomato_donne_biryani_house"
"ChIJVTO9rHc9rjsRuuh3StTCuDc","19797270","0x3bae3d77acbd3355:0x37b8c2d44a77e8ba","19797270","gmaps_v2","zomato","Five star chicken","11","1687847039","Five Star Chicken","198","1688639100","[]","[dining, delivery]","fivestarchicken","zomato_five_star_chicken"
"ChIJZ70ffCcWrjsRE8pGnl1TYPQ","50036","0x3bae16277c1fbd67:0xf460535d9e46ca13","50036","gmaps_v2","zomato","Al Bek","2400","1699615207","Al-Bek","31500","1688639100","[]","[dining, delivery]","al-bek","zomato_al-bek"
"ChIJZUrzkDYWrjsRVzTYHR2oo6s","18232642","0x3bae163690f34a65:0xaba3a81d1dd83457","18232642","gmaps_v2","zomato","Café Coffee Day","838","1699615207","Cafe Coffee Day","75","1688639100","[]","[dining, delivery]","cafecoffeeday","zomato_cafe_coffee_day"
"ChIJUxzUDDQWrjsRufZbU07Zxns","18232642","0x3bae16340cd41c53:0x7bc6d94e535bf6b9","18232642","gmaps_v2","zomato","Cafe Coffee Day","468","1687847039","Cafe Coffee Day","75","1688639100","[]","[dining, delivery]","cafecoffeeday","zomato_cafe_coffee_day"
"ChIJz1zGnu89rjsRN4QmjhQlFcs","19792336","0x3bae3def9ec65ccf:0xcb1525148e268437","19792336","gmaps_v2","zomato","Half tea","9","1687847039","Half Tea","13","1688639100","[]","[dining]","nan","N_A"
"ChIJ6TRU6uI9rjsRJaj9Yy-tA9w","18806947","0x3bae3de2ea5434e9:0xdc03ad2f63fda825","18806947","gmaps_v2","zomato","Lassi Bistro","6","1687847039","Lassi Bistro","9","1688639100","[]","[dining]","nan","N_A"
"ChIJlcIsXGI9rjsRGtqQn0MAcn4","59745","0x3bae3d625c2cc295:0x7e7200439f90da1a","59745","gmaps_v2","zomato","Ambur Darbar Biriyani Point","69","1699615207","Ambur Darbar Biriyani Point","7904","1688639100","[]","[dining, delivery]",,"zomato_ambur_darbar_biriyani_point"
"ChIJeT3f_cgXrjsR-LZayBHCzbQ","20246073","0x3bae17c8fddf3d79:0xb4cdc211c85ab6f8","20246073","gmaps_v2","zomato","Five star chicken","27","1699615207","Five Star Chicken","0","1688639100","[]","[dining, delivery]","fivestarchicken","N_A"
