id,bathrooms,bedrooms,price,name,lat,lng,type,desc,covered_area,carpet_area,trans_type,source
8a9f00838b144bba018b14b838f74ba5,2.0,2.0,5500000.0,2 BHK Flat  In Aakar Residency For Sale  In Arekere,12.8825607,77.6073997,AP,,1199.0,880.0,BUY,NoBroker
8a9fc382815b3b9b01815bcc14a56449,2.0,2.0,6000000.0,2 BHK Flat  In Mahaveer Konark For Sale  In J P Nagar,12.899871344718154,77.59150095283982,AP,,1080.0,950.0,BUY,NoBroker
8a9fef8285665b0601856689744e178e,2.0,2.0,6850000.0,2 BHK Flat  In Roshini Enclave For Sale  In Jp Nagar,12.8951299,77.58099210000002,AP,"BBMP A Khata 2 BHK  1089 sft 
No common walls
Brand new taps, doors, electrical , carpentry renovated
Quality construction
2 long balconies, security grill
Cauvery borewell 24/7
Extremely ventilated & sunny
2KM  Yelachenahalli metro, 1KM  Inchara, 0.5 Brigd Milln
Off main road, close to bus stand, malls, gym, ATM, Banks, parks, hospitals, banks, restaurants
All woodwork & fittings, renovated
Lift, Generator, Security",1089.0,810.0,BUY,NoBroker
8a9f11838aa23474018aa250757c1609,2.0,2.0,5400000.0,2 BHK Flat  In Radiant Lotus For Sale  In Bommanahalli,12.8976492,77.6169173,AP,"2 BHK Semi-furnished flat in Radiant Lotus, Prominent place in Bangalore, strategically situated between Hosur road and Bennergatta road, covering IT companies. Maintained by a single tenant all along. You get morning sunlight in the flat and evening breeze. It has a covered car parking.",1155.0,,BUY,NoBroker
8a9fa2838c758d99018c768edbcb2208,2.0,2.0,6500000.0,2 BHK Flat  In Ashrith Serenity For Sale  In Bilekahalli,12.89729213580699,77.6100955999965,AP,,1112.0,889.0,BUY,NoBroker
8a9fbc838a72918e018a7397dcf916d6,2.0,3.0,15000000.0,3 BHK Flat  In Pradhan Residency For Sale  In Pradhan Residency,12.93022630383512,77.58710816502571,AP,,1200.0,950.0,BUY,NoBroker
8a9fc38380f962a70180f96975490094,3.0,3.0,16500000.0,3 BHK Flat  In Esteem Enclave For Sale  In Arekere,12.8877435,77.5976051,AP,,1685.0,1368.0,BUY,NoBroker
8a9ff6838abfd0ee018ac10596174d5b,2.0,2.0,5500000.0,2 BHK Flat  In Shreyas Suraksha Nivas For Sale  In Bilekahalli,12.8906259,77.6037884,AP,,1160.0,928.0,BUY,NoBroker
8a9fa8827d603538017d60cd120c5fc6,3.0,3.0,7300000.0,3 BHK Flat  In Kalpataru Lake View For Sale  In Jp Nagar,12.897327999999998,77.582743,AP,Fully furnished,1465.0,1300.0,BUY,NoBroker
8a9fbb827dfab40e017dfaeb52121dc0,2.0,2.0,5800000.0,2 BHK Flat  In Himagiri Green Forest Apartments For Sale  In Jp Nagar 7th Phase,12.89571419081543,77.58946448773155,AP,"- A 2BHK (1180 soft) corner flat with bigger hall and bedrooms.
- 1 covered car park.
- Next to Arekere mini forrest.
- Semi-funished with wardrobes in bedroom, kitchen trolleys, tv unit in hall etc.
- 3 balconies, 2 bathrooms.
- Open from 3 sides and swimming pool facing.
- Full of light and air ventilated.
- Fully power backed up.
- Society with kids play area, swimming pool, gym, community hall",1180.0,1050.0,BUY,NoBroker
