id,name,lat,lng,cid,brand_id,brand_name,number_of_votes,place_url,source,category,top_category,type,created_at,date,number_of_reviews,url,reviews_per_day
ChIJh5Xc4BMVrjsRyRLZTgHJJbE,California Burrito Mexican Grill @ JP Nagar,12.906120300292969,77.5903091430664,0x3bae1513e0dc9587:0xb125c9014ed912c9,californiaburrito,California Burrito,2811,https://www.google.com/maps/place/?q=place_id:ChIJh5Xc4BMVrjsRyRLZTgHJJbE,gmaps_v2,restaurant,food,N_A,1699615207,1520789511.0,2895,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300397869306516871!2y12764829726306538185!2m2!2i10!3sCAESB0VnTUl5aFk=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,1.3581403871622566
ChIJn_nKCe8VrjsRHUyCakIvGaw,Crispy Studio,12.906113624572754,77.59318542480469,0x3bae15ef09caf99f:0xac192f426a824c1d,N_A,N_A,606,https://www.google.com/maps/place/?q=place_id:ChIJn_nKCe8VrjsRHUyCakIvGaw,gmaps_v2,restaurant,food,N_A,1699615207,1658681905.0,619,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300398810591066527!2y12400995011242642461!2m2!2i10!3sCAESB0VnTUk0Z1E=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,1.2791149856417643
ChIJVTMOxBMVrjsRQmMuQ1XvLHI,Kesariya Restaurant,12.906583786010742,77.58961486816406,0x3bae1513c40e3355:0x722cef55432e6342,N_A,N_A,4141,https://www.google.com/maps/place/?q=place_id:ChIJVTMOxBMVrjsRQmMuQ1XvLHI,gmaps_v2,restaurant,food,N_A,1699615207,1416758701.0,4222,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300397868823229269!2y8227213768777425730!2m2!2i10!3sCAESB0VnTUlfQ0E=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,1.2648901206465444
ChIJQ1pDBWwVrjsR4hmP-ZEpOaY,Woods & Brixx Pizza,12.905969619750977,77.59614562988281,0x3bae156c05435a43:0xa6392991f98f19e2,N_A,N_A,135,https://www.google.com/maps/place/?q=place_id:ChIJQ1pDBWwVrjsR4hmP-ZEpOaY,gmaps_v2,coffee_shop,food,N_A,1687847039,1677843771.0,361,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300398247874353731!2y11977650390902446562!2m2!2i10!3sCAESB0VnTUk2QUk=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,1.1660189450087712
19326433,Levels Pub & Kitchen,12.9060869492,77.5937905535,19326433,N_A,N_A,2851,,zomato,restaurant,food,N_A,1688639100,1580409000.0,3567,,1.1379754800189597
ChIJTf84lBYVrjsRDtRO_SeMtwk,Udupi Upachar,12.90332317352295,77.59172058105469,0x3bae15169438ff4d:0x9b78c27fd4ed40e,N_A,N_A,2454,https://www.google.com/maps/place/?q=place_id:ChIJTf84lBYVrjsRDtRO_SeMtwk,gmaps_v2,restaurant,food,N_A,1699615207,1499924406.0,2486,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300397880905629517!2y700182370460816398!2m2!2i10!3sCAESB0VnTUlzQk0=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,1.0617694903231922
ChIJKRzRXxEVrjsRIzZHIBoRihg,Sri Venkateshwara Sweetmeat Stall,12.9061279296875,77.59075164794922,0x3bae15115fd11c29:0x188a111a20473623,venkateshwarasweets,Sri Venkateshwara Sweet-Meat Stall,2142,https://www.google.com/maps/place/?q=place_id:ChIJKRzRXxEVrjsRIzZHIBoRihg,gmaps_v2,restaurant,food,N_A,1699615207,1495107778.0,2169,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300397858551569449!2y1768244607604700707!2m2!2i10!3sCAESB0VnTUk4QkE=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.9049490324383277
ChIJBQKgaxEVrjsRKPDoHgdkX4c,Caffe Pascucci,12.906516075134276,77.59202575683594,0x3bae15116ba00205:0x875f64071ee8f028,N_A,N_A,3408,https://www.google.com/maps/place/?q=place_id:ChIJBQKgaxEVrjsRKPDoHgdkX4c,gmaps_v2,restaurant,food,N_A,1699615207,1334338255.0,3407,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300397858749678085!2y9754625299653914664!2m2!2i10!3sCAESB0VnTUl5Qm8=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.8061039668333632
ChIJ_VeHPuIVrjsRYCznsDvaoKc,Kimchi korean restaurant,12.906116485595703,77.59339904785156,0x3bae15e23e8757fd:0xa7a0da3bb0e72c60,N_A,N_A,107,https://www.google.com/maps/place/?q=place_id:ChIJ_VeHPuIVrjsRYCznsDvaoKc,gmaps_v2,restaurant,food,N_A,1699615207,1686239099.0,148,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300398755641251837!2y12078894150513536096!2m2!2i10!3sCAESB0VnTUlqQUU=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.6911427449598941
ChIJD9sRtRAVrjsR1EQe-36bRG0,MK Ahmed Supermarket,12.905282974243164,77.59515380859375,0x3bae1510b511db0f:0x6d449b7efb1e44d4,N_A,N_A,2449,https://www.google.com/maps/place/?q=place_id:ChIJD9sRtRAVrjsR1EQe-36bRG0,gmaps_v2,supermarket,retail,N_A,1699615207,1384697711.0,2470,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300397855686908687!2y7873589018231719124!2m2!2i10!3sCAESB0VnTUluQk0=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.6719016970717944
