Unnamed: 0,id,name,lat,lng,cid,brand_id,brand_name,number_of_votes,rating,place_url,source,category,top_category,type,created_at,competitor_type,date,number_of_reviews,url,reviews_per_day
20706,ChIJv86pH7gVrjsRj0Vce0-QBSQ,Planet Fitness premium club BTM 1st Stage,12.916948318481444,77.61260986328125,0x3bae15b81fa9cebf:0x2405904f7b5c458f,N_A,N_A,763,4.699999809265137,https://www.google.com/maps/place/?q=place_id:ChIJv86pH7gVrjsRj0Vce0-QBSQ,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor,1563773874.0,803.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300398574734790335!2y2595639431295419791!2m2!2i10!3sCAESB0VnTUlvQVk=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.5313252063812509
5706,ChIJCau9ThoVrjsRoLq01adr1QU,Cafe Coffee Day,12.905525207519531,77.60591125488281,0x3bae151a4ebdab09:0x5d56ba7d5b4baa0,cafecoffeeday,Cafe Coffee Day,1731,3.900000095367432,https://www.google.com/maps/place/?q=place_id:ChIJCau9ThoVrjsRoLq01adr1QU,gmaps_v2,coffee_shop,food,N_A,1699615207,anchor_competitor,1417109101.0,1738.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300397896919788297!2y420360508818111136!2m2!2i10!3sCAESB0VnTUl3ZzA=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.5293988229762369
17432,ChIJy5np9TIVrjsRfLd79GM13jo,Blue Tokai Coffee Roasters | JP Nagar,12.9066801071167,77.59925842285156,0x3bae1532f5e999cb:0x3ade3563f47bb77c,bluetokaicoffee,Blue Tokai Coffee Roasters,191,4.300000190734863,https://www.google.com/maps/place/?q=place_id:ChIJy5np9TIVrjsRfLd79GM13jo,gmaps_v2,coffee_shop,food,N_A,1687847039,anchor_competitor,1655909123.0,277.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300398002803677643!2y4241886602449368956!2m2!2i10!3sCAESB0VnTUlqZ0k=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.516702467374515
8396,ChIJ1y9pQqIVrjsR6NCeuOFVhNQ,FIT TO BE GYM,12.906583786010742,77.56326293945312,0x3bae15a242692fd7:0xd48455e1b89ed0e8,N_A,N_A,66,4.900000095367432,https://www.google.com/maps/place/?q=place_id:ChIJ1y9pQqIVrjsR6NCeuOFVhNQ,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor,1676731183.0,133.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300398480828477399!2y15313459060919947496!2m2!2i10!3sCAESB0VnTUlnZ0U=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.512996929791102
28439,ChIJrXqxZ2YVrjsRyz_8iYO-_-k,PUMP UP BENGALURU,12.91108512878418,77.60987854003906,0x3bae156667b17aad:0xe9ffbe8389fc3fcb,N_A,N_A,164,5.0,https://www.google.com/maps/place/?q=place_id:ChIJrXqxZ2YVrjsRyz_8iYO-_-k,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor,1659184284.0,261.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300398223755934381!2y16861405002063429579!2m2!2i10!3sCAESB0VnTUloQUk=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.4943558286703424
20687,ChIJSR1OELE_rjsRGDkZQtKQXTI,Café Coffee Day,12.925763130187988,77.56102752685547,0x3bae3fb1104e1d49:0x325d90d242193918,cafecoffeeday,Cafe Coffee Day,1415,4.0,https://www.google.com/maps/place/?q=place_id:ChIJSR1OELE_rjsRGDkZQtKQXTI,gmaps_v2,coffee_shop,food,N_A,1699615207,anchor_competitor,1451434944.0,1439.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300444723900718409!2y3629216107456968984!2m2!2i10!3sCAESB0VnTUlsZ3M=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.4926096802468132
5186,ChIJL-yKLw0VrjsR4PMS3QRi4ls,Café Coffee Day,12.91231918334961,77.58558654785156,0x3bae150d2f8aec2f:0x5be26204dd12f3e0,cafecoffeeday,Cafe Coffee Day,1406,4.0,https://www.google.com/maps/place/?q=place_id:ChIJL-yKLw0VrjsR4PMS3QRi4ls,gmaps_v2,coffee_shop,food,N_A,1699615207,anchor_competitor,1441182904.0,1437.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300397840561794095!2y6620962175216448480!2m2!2i10!3sCAESB0VnTUlsZ3M=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.47005888424095343
2696,ChIJtTZeKbAVrjsRjHmtpjOqTnA,LIFTR - Strength & Conditioning Gym | JP Nagar,12.911980628967283,77.59968566894531,0x3bae15b0295e36b5:0x704eaa33a6ad798c,N_A,N_A,52,5.0,https://www.google.com/maps/place/?q=place_id:ChIJtTZeKbAVrjsRjHmtpjOqTnA,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor,1678027368.0,116.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300398540537870005!2y8092592719247800716!2m2!2i10!3sCAESBkVnSUliZw==!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.45753060362205616
4484,ChIJB0cKU9gVrjsRgDDOV6jNfc4,Fitness Honor Devarachikkanahalli,12.894328117370604,77.62008666992188,0x3bae15d8530a4707:0xce7dcda857ce3080,N_A,N_A,97,4.900000095367432,https://www.google.com/maps/place/?q=place_id:ChIJB0cKU9gVrjsRgDDOV6jNfc4,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor,1669485318.0,247.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300398713035704071!2y14879274866813317248!2m2!2i10!3sCAESB0VnTUk4QUU=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.45642780434361246
802,ChIJB-jQju8VrjsRNA61X_uueaM,Skypool fitness,12.891409873962402,77.60134887695312,0x3bae15ef8ed0e807:0xa379aefb5fb50e34,N_A,N_A,721,4.5,https://www.google.com/maps/place/?q=place_id:ChIJB-jQju8VrjsRNA61X_uueaM,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor,1546765626.0,816.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300398812822824967!2y11779638695029968436!2m2!2i10!3sCAESB0VnTUlxZ1k=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.44154930600248526
