id,name,,active,top_category,category,sub_categories,type,brand_name,brand_id,source,number_of_votes,address,image_url,place_url,verified
ChIJNSSaeqg9rjsRHL2NgUm_DLs,Siddaganga College of Pharmacy,,TRUE,education,college,['Faculty of pharmacy'],N_A,N_A,N_A,gmaps_v2,0,"Siddaganga College of Pharmacy, No33, Service road, near Laggere Bridge, Narasimhaswamy Layout, Bengaluru, Karnataka 560058",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1XCr8JimPl5XahxMwm54-w&cb_client=search.gws-prod.gps&w=80&h=92&yaw=33.318005&pitch=0&thumbfov=100,https://www.google.com/maps/place/?q=place_id:ChIJNSSaeqg9rjsRHL2NgUm_DLs,FALSE
ChIJhbc5jcA9rjsRJt8LXCJze9g,Gem Shishunthara School,,TRUE,education,school,['School'],N_A,N_A,N_A,gmaps_v2,0,"Gem Shishunthara School, No 195, 1st Main, Khb Colony, Near-Ganesh Temple, Basaveshwara Nagar, Bengaluru, Karnataka 560079",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-KpMk9WJP0DaJPU4qtuFYA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=31.66102&pitch=0&thumbfov=100,https://www.google.com/maps/place/?q=place_id:ChIJhbc5jcA9rjsRJt8LXCJze9g,FALSE
ChIJZ1DpFas9rjsR4P9HkDllgek,Malleswaram school,,TRUE,education,school,['School'],N_A,N_A,N_A,gmaps_v2,0,"Malleswaram school, veerabhadrappa #16/8 13th mn 18th crs malleswaram, Bengaluru, 560055",https://lh5.googleusercontent.com/p/AF1QipO6fVCety5oaG6N46HBxDXefkKdS3snzizfy1-a=w80-h121-k-no,https://www.google.com/maps/place/?q=place_id:ChIJZ1DpFas9rjsR4P9HkDllgek,FALSE
ChIJi0WR78E9rjsRfvMN7DGTX14,ug admissions,,TRUE,education,college,"['Educational consultant' 'Education Councils & Boards Office'
 'Business management consultant' 'College' 'Engineering consultant'
 'Management school' 'University']",N_A,N_A,N_A,gmaps_v2,0,"ug admissions, Sallapuradamma Temple Rd, Bovipalya, Nagapura, Bengaluru, Karnataka 560086",https://lh5.googleusercontent.com/p/AF1QipNi0oki8i4l9rTyqGHVilkXAFg-rG_bOQKz2YAx=w122-h92-k-no,https://www.google.com/maps/place/?q=place_id:ChIJi0WR78E9rjsRfvMN7DGTX14,FALSE
ChIJ4ZhMbQI9rjsR2Z6N0Suv6X4,Sun Touch-Drona Edu Piont,,TRUE,education,school,['Middle school'],N_A,N_A,N_A,gmaps_v2,0,"Sun Touch-Drona Edu Piont, 36, Mahakavi Kuvempu Rd, 1st Block, Rajajinagar, Bengaluru, Karnataka 560010",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ch0QhiaH2QXx27ffeJmuyg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=313.9787&pitch=0&thumbfov=100,https://www.google.com/maps/place/?q=place_id:ChIJ4ZhMbQI9rjsR2Z6N0Suv6X4,FALSE
ChIJS5NFLiM9rjsR5tPdGZfcJyA,Peenya Office,,TRUE,education,school,['School'],N_A,N_A,N_A,gmaps_v2,0,"2GPG+3R7 Peenya Office, Widia School Bus Stop Rd, 2nd Block, Peenya 1st Stage, Peenya, Bagalakunte, Bengaluru, Karnataka 560073",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GqZq0HIr3oyFtkE7b6uHkg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=227.19803&pitch=0&thumbfov=100,https://www.google.com/maps/place/?q=place_id:ChIJS5NFLiM9rjsR5tPdGZfcJyA,FALSE
ChIJvUuz5pQ9rjsR1RMQsRgcJQQ,Rhythms College Of Fine Arts,,TRUE,education,college,['College'],N_A,N_A,N_A,gmaps_v2,0,"Rhythms College Of Fine Arts, No 278, 5th Main Rd, 1st Stage, Swatantra Palya, Gandhi Nagar, Bengaluru, Karnataka 560021",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sejYDO6PN0QBjwP2IB6xgQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=210.32846&pitch=0&thumbfov=100,https://www.google.com/maps/place/?q=place_id:ChIJvUuz5pQ9rjsR1RMQsRgcJQQ,FALSE
ChIJV_Yhy309rjsR9qo0L3KFBwA,Government Co Ed High School,,TRUE,education,school,['School'],high_school,N_A,N_A,gmaps_v2,0,"2H95+2MF Government Co Ed High School, IISc Gymnasium, Malleshwaram, Bengaluru, Karnataka 560012",https://lh5.googleusercontent.com/p/AF1QipO_3R-aBAPC6cbG98IWPsBrX30b0wcTzoqW52HM=w122-h92-k-no,https://www.google.com/maps/place/?q=place_id:ChIJV_Yhy309rjsR9qo0L3KFBwA,TRUE
ChIJRxlK2-Y9rjsRrLjjKGzJXiI,Sri Sai College of Pharmacy,,TRUE,education,college,['College'],N_A,N_A,N_A,gmaps_v2,0,"Sri Sai College of Pharmacy, 375, 1st Main Road, Lakshmidevi Nagar, Vidhana Soudha Layout, Laggere, Bengaluru, Karnataka 560058",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mJuRjqbLTIAfDP9BK3sKog&cb_client=search.gws-prod.gps&w=360&h=120&yaw=223.61324&pitch=0&thumbfov=100,https://www.google.com/maps/place/?q=place_id:ChIJRxlK2-Y9rjsRrLjjKGzJXiI,FALSE
ChIJf50wMC8WrjsReqvx64coRlQ,Nammamalleshwara,,TRUE,education,school,['School'],N_A,N_A,N_A,gmaps_v2,0,"Nammamalleshwara, 92/2, 4th Main Road, 11th Cross Rd, beside B P Indian School, Malleshwaram, Bengaluru, Karnataka 560003",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6c6SaimTFR9YKxTRJU40zw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=167.55522&pitch=0&thumbfov=100,https://www.google.com/maps/place/?q=place_id:ChIJf50wMC8WrjsReqvx64coRlQ,FALSE
