id,name,lat,lng,category,number_of_votes,source,date,created_at,reviews_per_day
ChIJQzTjFzEXrjsR0iH-McMfZ3Q,Glen's Bakehouse BEL Road,13.02823257446289,77.57266998291016,restaurant,1147,gmaps_v2,1655292520.0,1687847039,3.5233203722039326e-05
61641,Savi Sagar,12.9902152297,77.5719898939,restaurant,10200,zomato,1397932200.0,1688639100,3.508688648257059e-05
ChIJ80ENaSgWrjsRrODlwYx7P10,Sri Raghavendra Stores,13.00074577331543,77.56378173828125,restaurant,6395,gmaps_v2,1516093491.0,1699615207,3.484601244683218e-05
ChIJB71YNfs9rjsRxtSJ3c7oHR8,Himadri Ice Creams,12.986368179321287,77.55574035644531,coffee_shop,421,gmaps_v2,1675761194.0,1687847039,3.4834138614221845e-05
ChIJ9e9PrIQ9rjsRQSCds-ay0w0,New Sagar Fast Food And Family Restaurant,13.004195213317873,77.55068969726562,restaurant,7451,gmaps_v2,1482126029.0,1699615207,3.425917587494859e-05
ChIJmzdUidwXrjsRCRUnfuPzFwk,Onesta,13.0292329788208,77.57087707519531,restaurant,7031,gmaps_v2,1486528035.0,1699615207,3.2995885833990984e-05
ChIJUVE05F89rjsRHv3T0j6Y4zI,Thalassery Restaurant,13.030168533325195,77.56221771240234,restaurant,7147,gmaps_v2,1480775168.0,1699615207,3.2658557513782933e-05
ChIJVcCXqyMWrjsR9g-B0aHQ2y8,Shiv Sagar,12.991619110107422,77.57030487060547,restaurant,5404,gmaps_v2,1529725021.0,1699615207,3.180878264504343e-05
ChIJE5RErWE9rjsR81kXD3rvkms,Ootada mane,13.030508995056152,77.55986022949219,restaurant,6434,gmaps_v2,1488560311.0,1699615207,3.0484959704512137e-05
18642512,Stories Bar & Kitchen,13.0085235727,77.5492112339,restaurant,8852,zomato,1397932200.0,1688639100,3.044991364154067e-05
ChIJkyIwMSYWrjsRdrp4aJ6Z7xQ,Brahmins' Thatte Idli,13.008134841918944,77.56383514404297,restaurant,6235,gmaps_v2,1490196164.0,1699615207,2.9772841622621684e-05
ChIJm311mTkWrjsRbZczHVyCYbI,Umesh Dosa Point,12.988937377929688,77.57752990722656,restaurant,5191,gmaps_v2,1525010103.0,1699615207,2.972994420598381e-05
ChIJ7ZRjT50XrjsRvSu6Iq4fozY,Udupi Sri Krishnarajathadri (USKR),13.004132270812988,77.57140350341797,restaurant,406,gmaps_v2,1685865600.0,1699615207,2.952811669453534e-05
ChIJbZ1UMP8XrjsRNU_MI1nKHBk,Shiv Sagar Express,13.0281400680542,77.57213592529297,restaurant,4175,gmaps_v2,1552402863.0,1699615207,2.836039347352556e-05
ChIJRa50lBcWrjsRgmmpCrmHqcw,Sanman Restaurant,12.986434936523438,77.57479858398438,restaurant,5345,gmaps_v2,1504277356.0,1699615207,2.7362848381085137e-05
ChIJ2eHoGBQXrjsR4EEjU5xHjfE,Bharjari Bhojana,12.99790382385254,77.5712890625,restaurant,565,gmaps_v2,1678692029.0,1699615207,2.70035460196343e-05
ChIJAQAAQDAWrjsR7LcDY1uvLfk,Sapna Book House,13.005184173583984,77.5787124633789,shoe_store,5305,gmaps_v2,1489985970.0,1687847039,2.6811742334213307e-05
ChIJcx5ZaAE9rjsRK3AASayHGeI,The illusion Cafe,12.997389793395996,77.5482177734375,restaurant,2214,gmaps_v2,1616951355.0,1699615207,2.678316998825557e-05
ChIJMVE9iWA9rjsRLqEA5KcqN5w,Sri Gurudarshan Sweets,13.032292366027832,77.55880737304688,coffee_shop,2119,gmaps_v2,1607686244.0,1687847039,2.6434368571319682e-05
18937506,Om Meals & Paratha Junction,13.0308077943,77.5622615218,restaurant,7559,zomato,1397932200.0,1688639100,2.6002134796250106e-05
ChIJE1jxxuo9rjsRFtrS-l0yIXs,Cave-n-Dine,12.986312866210938,77.5405502319336,restaurant,5514,gmaps_v2,1485278858.0,1699615207,2.5725921084901935e-05
ChIJbT3b7Zw9rjsRuMBLy88Mixc,Hot Coffee,13.006217002868652,77.54850769042969,restaurant,4467,gmaps_v2,1525326329.0,1699615207,2.5629862623821584e-05
ChIJCbFs_WEXrjsRB7Nu-guxPNE,Basaveshwar Khanavali (The Original),12.999329566955566,77.57225036621094,restaurant,2469,gmaps_v2,1603015042.0,1699615207,2.5558962554567066e-05
ChIJu7j4OQQ9rjsRJtQgvCAjn0U,House Of Raadhya,12.988388061523438,77.53773498535156,clothing_store,182,gmaps_v2,1680690530.0,1687847039,2.543139399391519e-05
ChIJ1aDbcp49rjsRkupabM43oKk,Davangere Butter Dosa Hotel,13.00857639312744,77.54385375976562,restaurant,4303,gmaps_v2,1529573742.0,1699615207,2.5305592374189437e-05
ChIJxa6khY89rjsRmTG3TXrGxkU,Jalpaan,12.998848915100098,77.552490234375,restaurant,5359,gmaps_v2,1482240795.0,1699615207,2.4653315680964326e-05
55943,Soundarya Paradise,13.0427185235,77.5130624324,restaurant,7051,zomato,1397932200.0,1688639100,2.4254670253784825e-05
ChIJ1UhU1Ow9rjsRtp62CQE_bdE,"Maruti Suzuki ARENA (Mandovi Motors, Bengaluru, Basaveshwara Nagar)",12.984569549560549,77.54720306396484,coffee_shop,3624,gmaps_v2,1534478689.0,1687847039,2.362938637600261e-05
ChIJezFY_XkXrjsRtFax4I97jO4,A Blooming Onion - Yellow Box,13.00407600402832,77.55380249023438,restaurant,80,gmaps_v2,1696158032.0,1699615207,2.3140280720530492e-05
18487171,Tripti Hotel & Restaurant,13.0335597414,77.5662985817,restaurant,6704,zomato,1397932200.0,1688639100,2.3061028135211102e-05
ChIJA-atQSwWrjsRjAlLxuXrxIE,WallPlays Wallpaper,12.997588157653809,77.57246398925781,home_decor,1753,gmaps_v2,1619114951.0,1695212099,2.3036342965179193e-05
ChIJf7Re8X49rjsRiSmwhlnOzGE,Mathura silks and sarees,13.010955810546877,77.5505142211914,clothing_store,507,gmaps_v2,1665823533.0,1687847039,2.3020857805292218e-05
