id,name,lat,lng,cid,number_of_votes,place_url,source,category,created_at,date,number_of_reviews
ChIJv4ZCkJ89rjsREpIEF6b6XYE,Ashvik Gold Buyers | Sell Gold for Cash,13.043204307556152,77.51146697998047,0x3bae3d9f904286bf:0x815dfaa617049212,185,https://www.google.com/maps/place/?q=place_id:ChIJv4ZCkJ89rjsREpIEF6b6XYE,gmaps_v2,jewelry_store,1687847039,,
ChIJ1_NjefwXrjsRRpuAcDPhOZ4,My Kalyan Mini Store,13.001769065856934,77.56942749023438,0x3bae17fc7963f3d7:0x9e39e13370809b46,1,https://www.google.com/maps/place/?q=place_id:ChIJ1_NjefwXrjsRRpuAcDPhOZ4,gmaps_v2,jewelry_store,1687847039,1681882806.0,1.0
ChIJNSuppJUXrjsRtC81lm1KGfU,"Mia by Tanishq - Malleshwaram, Bengaluru",13.002223014831545,77.56938171386719,0x3bae1795a4a92b35:0xf5194a6d96352fb4,147,https://www.google.com/maps/place/?q=place_id:ChIJNSuppJUXrjsRtC81lm1KGfU,gmaps_v2,jewelry_store,1687847039,1683293521.0,257.0
ChIJLRlTzaAXrjsR9AstbKTJenA,Hindustan Gold Company - Gold Buyers in Yeswanthpur,12.993209838867188,77.57392883300781,0x3bae17a0cd53192d:0x707ac9a46c2d0bf4,47,https://www.google.com/maps/place/?q=place_id:ChIJLRlTzaAXrjsR9AstbKTJenA,gmaps_v2,jewelry_store,1687847039,1568747147.0,47.0
ChIJvURbb489rjsRupy8MO1XZWI,Seema Enterprises,12.998230934143066,77.55419158935547,0x3bae3d8f6f5b44bd:0x626557ed30bc9cba,2,https://www.google.com/maps/place/?q=place_id:ChIJvURbb489rjsRupy8MO1XZWI,gmaps_v2,home_decor,1695212099,1598888201.0,2.0
ChIJ1VQ2LGA9rjsRSZx9CtN9_3U,Healux International Pvt. Ltd.,13.030863761901855,77.56143951416016,0x3bae3d602c3654d5:0x75ff7dd30a7d9c49,0,https://www.google.com/maps/place/?q=place_id:ChIJ1VQ2LGA9rjsRSZx9CtN9_3U,gmaps_v2,home_decor,1695212099,,
ChIJ89n1RLY9rjsR3FEH6D9aTc8,Springfit Mattress Exclusive Showroom - Sai Pavan's,13.026273727416992,77.55780029296875,0x3bae3db644f5d9f3:0xcf4d5a3fe80751dc,5,https://www.google.com/maps/place/?q=place_id:ChIJ89n1RLY9rjsR3FEH6D9aTc8,gmaps_v2,home_decor,1695212099,1539757386.0,5.0
ChIJkfYxooM9rjsRq60Qk9IIyl8,Sleepwell,13.020950317382812,77.52818298339844,0x3bae3d83a231f691:0x5fca08d29310adab,1,https://www.google.com/maps/place/?q=place_id:ChIJkfYxooM9rjsRq60Qk9IIyl8,gmaps_v2,home_decor,1695212099,1579270039.0,1.0
ChIJ72mKQ549rjsROP_TU8c7558,Sleepwell,13.008130073547363,77.54298400878906,0x3bae3d9e438a69ef:0x9fe73bc753d3ff38,24,https://www.google.com/maps/place/?q=place_id:ChIJ72mKQ549rjsROP_TU8c7558,gmaps_v2,home_decor,1695212099,1533904025.0,24.0
ChIJQQMtdhIXrjsRObsYkY3dipA,Duroflex Experience Centre - New Bel Road,13.035253524780272,77.5673599243164,0x3bae1712762d0341:0x908add8d9118bb39,69,https://www.google.com/maps/place/?q=place_id:ChIJQQMtdhIXrjsRObsYkY3dipA,gmaps_v2,home_decor,1695212099,1673162730.0,94.0
ChIJGW62nmM9rjsRRD6Ba8O9MOM,Bombay Dyeing showroom,13.026229858398438,77.55780792236328,0x3bae3d639eb66e19:0xe330bdc36b813e44,179,https://www.google.com/maps/place/?q=place_id:ChIJGW62nmM9rjsRRD6Ba8O9MOM,gmaps_v2,home_decor,1695212099,1483290981.0,189.0
ChIJAYqUric9rjsRHsoBbiNRs9s,Amma's Pastries,13.040082931518556,77.51872253417969,0x3bae3d27ae948a01:0xdbb351236e01ca1e,2813,https://www.google.com/maps/place/?q=place_id:ChIJAYqUric9rjsRHsoBbiNRs9s,gmaps_v2,restaurant,1687847039,1453210420.0,2811.0
ChIJC8guzZs9rjsRn38pBOIQTNY,Pizza Hut,12.997385025024414,77.54060363769531,0x3bae3d9bcd2ec80b:0xd64c10e204297f9f,2600,https://www.google.com/maps/place/?q=place_id:ChIJC8guzZs9rjsRn38pBOIQTNY,gmaps_v2,restaurant,1699615207,1488774919.0,2687.0
ChIJe4rcRxA9rjsRQrzgvf83MEo,Sizzlly Chicken,12.989420890808104,77.54244995117188,0x3bae3d1047dc8a7b:0x4a3037ffbde0bc42,10,https://www.google.com/maps/place/?q=place_id:ChIJe4rcRxA9rjsRQrzgvf83MEo,gmaps_v2,restaurant,1699615207,,
ChIJXyh8mjg9rjsRbJoEcXyl3cM,D-Zaprino,13.001715660095217,77.55816650390625,0x3bae3d389a7c285f:0xc3dda57c71049a6c,1,https://www.google.com/maps/place/?q=place_id:ChIJXyh8mjg9rjsRbJoEcXyl3cM,gmaps_v2,restaurant,1699615207,1663183833.0,1.0
ChIJWa-QjtwXrjsRFY0xqsQG3SY,Jumboking,13.029267311096191,77.57109069824219,0x3bae17dc8e90af59:0x26dd06c4aa318d15,2,https://www.google.com/maps/place/?q=place_id:ChIJWa-QjtwXrjsRFY0xqsQG3SY,gmaps_v2,restaurant,1699615207,1655872722.0,2.0
ChIJORnfvXYXrjsRZ9JK8qu-mik,Oven Story,12.988921165466309,77.5740966796875,0x3bae1776bddf1939:0x299abeabf24ad267,8,https://www.google.com/maps/place/?q=place_id:ChIJORnfvXYXrjsRZ9JK8qu-mik,gmaps_v2,restaurant,1699615207,1627648873.0,9.0
ChIJHT0eSCoWrjsRU1xeA8RQNHA,Chetty's Corner,13.006757736206056,77.56427001953125,0x3bae162a481e3d1d:0x703450c4035e5c53,769,https://www.google.com/maps/place/?q=place_id:ChIJHT0eSCoWrjsRU1xeA8RQNHA,gmaps_v2,restaurant,1699615207,1468760353.0,772.0
