id,name,lat,lng,category,number_of_votes,source,date,created_at,reviews_per_day,brand_id,brand_name
ChIJjRqgOlwXrjsRrmFMT84IUIw,"Zudio Lulu Global Mall - Bangalore, Karnataka",12.981745719909668,77.56380462646484,clothing_store,307,gmaps_v2,1686502425.0,1695212099,3.5248161986315446e-05,zudio,Zudio
ChIJa3sGP549rjsR34Do2Rd9VCI,"AB's - Absolute Barbecues | Yeshwanthpur, Bangalore",13.02458667755127,77.54837799072266,restaurant,4548,gmaps_v2,1566097831.0,1699615207,3.4062982184431185e-05,absolutebarbecues,Absolute Barbecues
19257063,Corner House Ice Creams,12.9880730754,77.542536892,restaurant,9857,zomato,1397932200.0,1688639100,3.3907003927323364e-05,zomato_corner_house_ice_creams,Corner House Ice Creams
18422900,Sri Maruthi Miltry Hotel,13.0002867332,77.5525090098,restaurant,9636,zomato,1397932200.0,1688639100,3.314678805353433e-05,zomato_sri_maruthi_miltry_hotel,Sri Maruthi Miltry Hotel
ChIJpelrnHg9rjsRfQtUhhcYORU,Punjab Grill Malleshwaram,13.010931015014648,77.55500030517578,restaurant,4421,gmaps_v2,1554284006.0,1687847039,3.310047623731336e-05,lbf,Lite Bite Foods
51504,Nandhini Deluxe,12.9987370425,77.5840530973,restaurant,9602,zomato,1397932200.0,1688639100,3.30298317652591e-05,zomato_nandhini_deluxe,Nandhini Deluxe
ChIJNSnVnSQWrjsRl-_7mT24Nic,Joyalukkas Jewellery,12.994579315185549,77.57170104980469,jewelry_store,5833,gmaps_v2,1522385911.0,1699615207,3.2912165943490515e-05,joyalukkas,Joyalukkas
ChIJNSuppJUXrjsRtC81lm1KGfU,"Mia by Tanishq - Malleshwaram, Bengaluru",13.002223014831545,77.56938171386719,jewelry_store,147,gmaps_v2,1683293521.0,1687847039,3.2282731725228715e-05,miabytanishq,Mia by Tanishq
18578555,Basaveshwarnagar Dosa Corner,12.9911397773,77.5415149704,restaurant,9344,zomato,1397932200.0,1688639100,3.214233993069996e-05,zomato_basaveshwarnagar_dosa_corner,Basaveshwarnagar Dosa Corner
ChIJUUSLnpI9rjsRGQuAAkCJSdY,Nandhana Palace -Andhra Style Restaurant - Rajajinagar,12.989184379577637,77.55011749267578,restaurant,6966,gmaps_v2,1480988236.0,1699615207,3.186249147640618e-05,nandhanarestaurants,Nandhana Palace
ChIJN2x2rOc9rjsRZJ-ufDn0WUg,Tanishq Jewellery - Bangalore - Basaveshwaranagar,12.998199462890623,77.54381561279297,jewelry_store,1484,gmaps_v2,1639750209.0,1687847039,3.085442429365927e-05,tanishq,Tanishq
ChIJNaHPzAEXrjsRDRdgqikmpHg,Manyavar & Mohey,13.031309127807615,77.57046508789062,clothing_store,1295,gmaps_v2,1644680004.0,1687847039,2.9999744017628267e-05,manyavar,Manyavar
ChIJw-UMHiwWrjsRnO73wUSmSLM,P N RAO Fine Suits - Malleshwara,13.005620956420898,77.5687484741211,clothing_store,4512,gmaps_v2,1529922033.0,1687847039,2.8570522897431456e-05,pnrao,pnrao
53769,Shuchi Ruchi,13.0012337844,77.5722621381,restaurant,8292,zomato,1397932200.0,1688639100,2.8523574775830915e-05,zomato_shuchi_ruchi,Shuchi Ruchi
50818,Polar Bear,13.028080315,77.573226057,restaurant,8231,zomato,1397932200.0,1688639100,2.8313741435101816e-05,zomato_polar_bear,Polar Bear
19133043,Paakashala,13.00582,77.57136,restaurant,8230,zomato,1397932200.0,1688639100,2.831030154427019e-05,zomato_paakashala,Paakashala
