id,name,lat,lng,cid,number_of_votes,place_url,source,category,created_at,number_of_reviews,date
18480520,Le Arabia,12.9985510623,77.5423340499,,21700,,zomato,restaurant,1688639100,9742,1397932200.0
19575738,Sri Kabalamma Pork Mutton Hotel,12.9777158569,77.544760108,,379,,zomato,restaurant,1688639100,9742,1397932200.0
55382,Park View Restaurant,12.9729389501,77.5394681096,,169,,zomato,restaurant,1688639100,9742,1397932200.0
19771428,Boss Rolls & Sandwiches,13.0331370704,77.5661175326,,123,,zomato,restaurant,1688639100,9742,1397932200.0
19333632,Karnataka Biriyani Paradise,13.0450810171,77.5068902712,,2179,,zomato,restaurant,1688639100,9742,1397932200.0
19508496,Kekiz The Cake Shop,13.0082227078,77.5712643564,,35,,zomato,restaurant,1688639100,9742,1397932200.0
19856367,Shakes Sup,13.0330064146,77.5661027804,,33,,zomato,restaurant,1688639100,9742,1397932200.0
19326864,RG's Ice Berg Ice-Creams,12.9997279852,77.5577234288,,232,,zomato,restaurant,1688639100,9742,1397932200.0
19011671,Malugudi's Donne Biriyani,13.0301146581,77.5595484674,,606,,zomato,restaurant,1688639100,9742,1397932200.0
19872631,The Cake Deluxe,12.9975465,77.5614773,,443,,zomato,restaurant,1688639100,9742,1397932200.0
18430352,Koithio Kitchen,13.0329877962,77.5661741942,,11,,zomato,restaurant,1688639100,9742,1397932200.0
19091150,New Prashanth Naati Style,13.0091442483,77.5559687242,,2,,zomato,restaurant,1688639100,,
19523929,Sweet Spoon,13.014235,77.57671,,17,,zomato,restaurant,1688639100,9742,1397932200.0
52023,Sai Shakti,12.9992540872,77.5680876151,,273,,zomato,restaurant,1688639100,9742,1397932200.0
19636388,Labonel Fine Baking,13.00447,77.58392,,4,,zomato,restaurant,1688639100,9742,1397932200.0
18565944,Bobby's Dhaba,13.0471792241,77.5024941936,,165,,zomato,restaurant,1688639100,9742,1397932200.0
19534481,Between 2 Buns,13.0307104526,77.5699453294,,2360,,zomato,restaurant,1688639100,9742,1397932200.0
19137545,S.K Sweets,12.9859099938,77.5613167137,,185,,zomato,restaurant,1688639100,9742,1397932200.0
19216245,Big Mishra Pedha,12.9987607939,77.5424547493,,84,,zomato,restaurant,1688639100,9742,1397932200.0
19690351,Charcoal Chicken Barbecue,13.0286650107,77.5621921197,,41,,zomato,restaurant,1688639100,9742,1397932200.0
19503605,Nizam's Kitchens,12.9834495922,77.5488343835,,475,,zomato,restaurant,1688639100,9742,1397932200.0
19439076,Snehajeevi Gowdru Adda Juice And Chats,13.0059301117,77.5648498535,,30,,zomato,restaurant,1688639100,9742,1397932200.0
55011,The Studio Bar,13.0108138581,77.5542514399,,892,,zomato,restaurant,1688639100,9742,1397932200.0
18805765,Pooja Restro,13.0347366181,77.564278543,,5,,zomato,restaurant,1688639100,9742,1397932200.0
19589236,Sicilia Point,12.9858482472,77.5519762561,,183,,zomato,restaurant,1688639100,9742,1397932200.0
19913977,Grub Monkeys,13.0291602044,77.5710460916,,218,,zomato,restaurant,1688639100,9742,1397932200.0
51310,Food Zone,12.9880103493,77.5379684195,,5895,,zomato,restaurant,1688639100,9742,1397932200.0
19592189,Mohaa - New Name Of Sheesha,13.0301786802,77.5708033517,,18,,zomato,restaurant,1688639100,9742,1397932200.0
20197047,Hari Super Sandwich,12.988782,77.57753,,119,,zomato,restaurant,1688639100,9742,1397932200.0
20089345,Geist Brewing Taproom,13.011925738,77.5556076974,,30,,zomato,restaurant,1688639100,9742,1397932200.0
19793129,Sri Sai Ram Juice and Chats,13.0037897265,77.5653645024,,105,,zomato,restaurant,1688639100,9742,1397932200.0
