h3_lvl_7,neighbour_median,type_median,geom,population_income_distribution,EWS,LIG,MIG,AIG,EIG,EWS_HH,LIG_HH,MIG_HH,AIG_HH,EIG_HH,total_hh,avg_household_income
87618920effffff,6894.260062371957,self_median,"POLYGON ((77.75426516035898 12.945444754854865, 77.75026209016245 12.957943029753357, 77.73764747750297 12.960490292628819, 77.72903746313843 12.950540659860673, 77.73304035022656 12.938043879457954, 77.74565343506897 12.93549523732784, 77.75426516035898 12.945444754854865))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.16000000000000003}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.48}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.2}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.15}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.16000000000000003,0.48,0.2,0.15,0.01,913,2739,1141,856,57,5706,839251.7909767041
87618928dffffff,7755.102040816327,self_median,"POLYGON ((77.76069672873594 13.072726589138224, 77.75669197976225 13.085220055354233, 77.74407130848059 13.087758261268865, 77.7354569154935 13.077804381808159, 77.73946148156068 13.065312404686352, 77.75208062380325 13.062772817930073, 77.76069672873594 13.072726589138224))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.1499999999999999}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.44}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.23}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.17}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.1499999999999999,0.44,0.23,0.17,0.01,186,546,285,211,12,1240,944043.7723672066
87618922affffff,6477.022656800529,neighbour_median,"POLYGON ((77.76627349535272 12.907944781681195, 77.76227086298519 12.920445629533804, 77.74965619515231 12.922996421828906, 77.7410456873398 12.913047744067411, 77.74504813730269 12.900548391648721, 77.75766127776411 12.89799622155805, 77.76627349535272 12.907944781681195))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.17000000000000004}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.49}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.19}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.14}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.17000000000000004,0.49,0.19,0.14,0.01,317,916,355,261,18,1867,788460.6637606792
8761892edffffff,9114.41847560363,self_median,"POLYGON ((77.64078990307624 12.968345622399557, 77.63678701449376 12.980833287254027, 77.6241865253194 12.983371772502586, 77.61559045373052 12.973423980521089, 77.61959315295742 12.960937814500825, 77.63219211340875 12.958397941629139, 77.64078990307624 12.968345622399557))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.1399999999999999}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.39}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.26}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.2}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.1399999999999999,0.39,0.26,0.2,0.01,5201,14489,9659,7430,371,37150,1109516.0263986015
876189242ffffff,6981.101869950284,self_median,"POLYGON ((77.64820155396173 12.908439940205962, 77.64419941085475 12.92093072981879, 77.63160038362213 12.92347414370656, 77.62300502786229 12.913528154112774, 77.62700698209287 12.90103886539099, 77.63960448123956 12.89849406537367, 77.64820155396173 12.908439940205962))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.16000000000000003}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.47}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.21}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.15}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.16000000000000003,0.47,0.21,0.15,0.01,3466,10183,4550,3250,216,21665,849823.2144336675
876016962ffffff,6315.789473684211,self_median,"POLYGON ((77.59274569775081 13.11814025766955, 77.58874107501141 13.130617463326843, 77.57614086315597 13.13314173549477, 77.56754680480572 13.123190195387245, 77.57155123537515 13.110714484739123, 77.58414991674455 13.108188819189804, 77.59274569775081 13.11814025766955))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.16000000000000003}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.5}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.19}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.14}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.16000000000000003,0.5,0.19,0.14,0.01,1088,3403,1293,952,68,6804,768833.4323433761
8761892c1ffffff,6491.8271745883885,self_median,"POLYGON ((77.65458097637621 13.035655035976498, 77.65057715350022 13.048141043904701, 77.63797207698173 13.05067536606166, 77.62937235293008 13.040725068023566, 77.63337598712279 13.028240555589914, 77.64597953433075 13.025704845700316, 77.65458097637621 13.035655035976498))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.17000000000000004}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.49}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.19}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.14}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.17000000000000004,0.49,0.19,0.14,0.01,1828,5270,2043,1505,107,10753,790262.8467296419
876016964ffffff,8842.699796283548,self_median,"POLYGON ((77.60475869979787 13.080703374086884, 77.60075451017535 13.093183211774988, 77.58815422719552 13.095711043669473, 77.57955966416368 13.085760429825559, 77.5835636623201 13.073282088108439, 77.59616241525421 13.070752864264927, 77.60475869979787 13.080703374086884))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.1399999999999999}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.4}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.26}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.19}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.1399999999999999,0.4,0.26,0.19,0.01,1263,3611,2347,1715,90,9026,1076439.178963469
8760145a1ffffff,6990.0,self_median,"POLYGON ((77.53486679317479 12.931306262518284, 77.53086486286249 12.943786420478702, 77.5182800237099 12.946321075280034, 77.50969864410037 12.936376966582106, 77.51370037931676 12.923898313809275, 77.52628368951703 12.921362264549598, 77.53486679317479 12.931306262518284))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.16000000000000003}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.47}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.21}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.15}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.16000000000000003,0.47,0.21,0.15,0.01,1917,5633,2517,1797,119,11983,850906.4012460314
876189342ffffff,5850.510817512799,neighbour_median,"POLYGON ((77.76445076482447 12.8030834963711, 77.76044949965569 12.815588478825703, 77.74783935804133 12.818146925023353, 77.73923200822198 12.80820176496224, 77.74323309101032 12.79569828219732, 77.75584170627954 12.793138459805204, 77.76445076482447 12.8030834963711))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.17999999999999994}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.51}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.17}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.13}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.17999999999999994,0.51,0.17,0.13,0.01,243,689,229,175,13,1349,712194.1495251493
