id,name,lat,lng,cid,number_of_votes,place_url,source,category,created_at,number_of_reviews,date
53819,Cookie Man,13.0115132549,77.5544904917,,203,,zomato,restaurant,1688639100,9742,1397932200.0
18680098,Rotti Mane,12.9918604648,77.5368620083,,350,,zomato,restaurant,1688639100,9742,1397932200.0
53192,Empire Restaurant,13.0111588201,77.554397285,,492,,zomato,restaurant,1688639100,9742,1397932200.0
59725,Sri Venkateshwara Sweetmeat Stall,12.9961175743,77.57138405,,414,,zomato,restaurant,1688639100,9742,1397932200.0
19470848,Smokin Burg,13.0280476504,77.5728458539,,37,,zomato,restaurant,1688639100,9742,1397932200.0
19388051,Kwality Wall’s Frozen Dessert and Ice Cream Shop,13.0056312037,77.5786551833,,692,,zomato,restaurant,1688639100,9742,1397932200.0
19388051,Kwality Wall’s Frozen Dessert and Ice Cream Shop,13.0056312037,77.5786551833,,692,,zomato,restaurant,1688639100,9742,1397932200.0
19133043,Paakashala,13.00582,77.57136,,8230,,zomato,restaurant,1688639100,9742,1397932200.0
18904100,Onesta,12.9975556513,77.5473474339,,14900,,zomato,restaurant,1688639100,9742,1397932200.0
19740335,Gourmet Ice Cream Cakes By Baskin Robbins,13.011576,77.555428,,7,,zomato,restaurant,1688639100,9742,1397932200.0
19740335,Gourmet Ice Cream Cakes By Baskin Robbins,13.011576,77.555428,,7,,zomato,restaurant,1688639100,9742,1397932200.0
20204317,Lassi &  More,13.029288,77.561226,,0,,zomato,restaurant,1688639100,,
19816763,The Sugar Free Keto Kafe - By Artinci,13.0271398,77.5610604,,54,,zomato,restaurant,1688639100,9742,1397932200.0
19711565,Asha Sweet Center,13.0040523755,77.5512594357,,842,,zomato,restaurant,1688639100,9742,1397932200.0
19783850,Café Voosh,13.0223427113,77.5564984605,,9,,zomato,restaurant,1688639100,9742,1397932200.0
55076,New Shanthi Sagar,13.0041542989,77.5713267177,,132,,zomato,restaurant,1688639100,9742,1397932200.0
20320102,Asia Seven,12.991711,77.570636,,21,,zomato,restaurant,1688639100,9742,1397932200.0
19945121,Chaayos - Meri Wali Chai,12.9979480011,77.5533512235,,0,,zomato,restaurant,1688639100,,
19131591,Sandwichwallas,12.9736525025,77.538176626,,754,,zomato,restaurant,1688639100,9742,1397932200.0
20219852,Mad Over Donuts,13.038817,77.564599,,52,,zomato,restaurant,1688639100,9742,1397932200.0
19175286,Potful - Claypot Biryanis,13.0353921782,77.5674140453,,6191,,zomato,restaurant,1688639100,9742,1397932200.0
19488150,Creams & Bites,12.9885794,77.5595199,,0,,zomato,restaurant,1688639100,,
19673001,Zomoz - The Momo Company,12.9918382496,77.5378789008,,649,,zomato,restaurant,1688639100,9742,1397932200.0
18882675,Sagar Restaurant & Chats,12.9732075126,77.5403301045,,990,,zomato,restaurant,1688639100,9742,1397932200.0
56016,Hotel Kadamba Veg,12.9974957,77.5474606,,8000,,zomato,restaurant,1688639100,9742,1397932200.0
19160541,Brahmins' Thatte Idli,13.0037895,77.5779477,,2103,,zomato,restaurant,1688639100,9742,1397932200.0
18628912,Sri Durga Chats & Juice,12.9724841574,77.5388451666,,13900,,zomato,restaurant,1688639100,9742,1397932200.0
56264,Goli Vada Pav No. 1,13.0337599709,77.5580729172,,1396,,zomato,restaurant,1688639100,9742,1397932200.0
54723,Just Bake,13.0114818948,77.5544700399,,56,,zomato,restaurant,1688639100,9742,1397932200.0
18353118,Just Bake,12.9794487331,77.5537176803,,316,,zomato,restaurant,1688639100,9742,1397932200.0
