,id,name,lat,lng,category,source,number_of_votes,reviews_per_day
78,ChIJzUtPSPI9rjsRiUpLdevdJ6E,Real Decoration,12.987630844116213,77.55418395996094,home_decor,gmaps_v2,128,4.625361943605997e-05
79,50311,Corner House Ice Creams,12.9884896159,77.5770733505,restaurant,zomato,13400,4.60945371437692e-05
80,ChIJP7XwHwc9rjsRcOwvsBmUHSo,SNACKS The Street Food Cafe,12.995842933654783,77.54012298583984,restaurant,gmaps_v2,64,4.585588212745499e-05
81,ChIJq-pwpok9rjsROvuRrROI6_s,Al - Bek Restaurant,12.97797393798828,77.55300903320312,restaurant,gmaps_v2,5639,4.5549753905721767e-05
82,ChIJNcbgui8WrjsRY7s_Zd8fEh8,Paakashala @ Malleshwaram,13.005590438842772,77.57133483886719,restaurant,gmaps_v2,6353,4.524654137446159e-05
83,ChIJgzCrIyU9rjsR82dgFTCVaM8,MANDIPETE PALAV VIJAYNAGARA,12.972818374633787,77.5396957397461,restaurant,gmaps_v2,237,4.4811491103311855e-05
84,ChIJH7NfryMWrjsRCsZa5_GFBtw,H&M,12.992138862609863,77.57010650634766,clothing_store,gmaps_v2,5974,4.402039392490268e-05
85,ChIJCUy6J5AXrjsRI8wWfSwJQNs,Royalé Touché,12.993951797485352,77.57772827148438,home_decor,gmaps_v2,1006,4.393729719672619e-05
86,18703504,Oottupura,13.0337142415,77.5641068816,restaurant,zomato,12700,4.368661356163201e-05
87,ChIJF2yEZCMWrjsR_P9kAMiYUGo,Hyderabad Biryani Hotel,12.99392032623291,77.57134246826172,restaurant,gmaps_v2,7054,4.344366916730742e-05
88,ChIJ6RTQcSMWrjsRZ6RMINp7IA0,New Krishna Bhavan,12.992972373962402,77.5716552734375,restaurant,gmaps_v2,8032,4.3216635021188825e-05
89,59166,Biriyani Nights,13.03335058,77.56722635,restaurant,zomato,12400,4.265464631214464e-05
90,ChIJX3bFvHg9rjsRmcTwzAuJeds,Zara,13.011119842529297,77.55510711669922,clothing_store,gmaps_v2,6412,4.2337362313526354e-05
91,ChIJv-2vRJs9rjsR5Y5BLMtj1Ho,Malabar Gold and Diamonds - Rajajinagar - Bangalore,13.003792762756348,77.54962921142578,jewelry_store,gmaps_v2,5105,4.178748509105616e-05
92,ChIJ46P4AiMWrjsRDURyrRTam1s,TRENDS,12.991962432861328,77.5710678100586,clothing_store,gmaps_v2,5705,4.04353766665196e-05
93,ChIJg2h2hLY9rjsRI_2R0h4Q6AU,Mahaganapati condiments,12.98858642578125,77.53375244140625,coffee_shop,gmaps_v2,24,3.935006804282599e-05
94,ChIJmyMs7C8WrjsRI4nLxPcID8o,Food Camp Veg Restaurant & Party Hall,13.00092315673828,77.5723876953125,restaurant,gmaps_v2,9020,3.915674703700418e-05
95,18418538,Shanthi Sagar,12.9888898209,77.5376277789,restaurant,zomato,11300,3.887076639735761e-05
96,ChIJ748wWX89rjsRpv-DRa-4wtE,Manyavar,13.011239051818848,77.55520629882812,clothing_store,gmaps_v2,2139,3.869629347037405e-05
97,ChIJvX7ti-4XrjsRZGBESGgaqhc,Taneira Sarees,13.002042770385742,77.56941223144531,clothing_store,gmaps_v2,603,3.860555950787707e-05
98,ChIJJ_pVXGM9rjsR6RJzJIZf7XI,Priyadarshini Veg,13.023111343383787,77.556640625,restaurant,gmaps_v2,8153,3.858413279146944e-05
99,ChIJHSEbZec9rjsRurDKrQvxrqw,Kapoor's Cafe Rajajinagar,12.999500274658203,77.55237579345703,restaurant,gmaps_v2,2001,3.695101088160181e-05
100,ChIJZU8k2vU9rjsRK9gXANkis7k,Barbeque Nation,12.98296356201172,77.55985260009766,restaurant,gmaps_v2,8480,3.681841787168435e-05
101,ChIJVVVVxXQ-rjsR3rUjTglWt9o,New Shanthi Sagar,12.973347663879396,77.54200744628906,restaurant,gmaps_v2,8068,3.647266921120344e-05
102,ChIJDS-SHywWrjsRDBQF0MjuQEE,1947 Restaurant,13.005684852600098,77.56892395019531,restaurant,gmaps_v2,7808,3.573640127409058e-05
103,ChIJPzvaJTM9rjsROmK-rW3gTTM,Narmada Restaurant Rajaji Nagar,12.997591972351074,77.54740142822266,restaurant,gmaps_v2,388,3.570987785841236e-05
104,ChIJJ7xGhfo9rjsRfceU-8d7BdM,MAYURA 1989 Bar & Kitchen,12.975768089294434,77.5526351928711,restaurant,gmaps_v2,5855,3.5659720729633335e-05
105,ChIJjRqgOlwXrjsRrmFMT84IUIw,"Zudio Lulu Global Mall - Bangalore, Karnataka",12.981745719909668,77.56380462646484,clothing_store,gmaps_v2,307,3.5248161986315446e-05
106,ChIJQzTjFzEXrjsR0iH-McMfZ3Q,Glen's Bakehouse BEL Road,13.02823257446289,77.57266998291016,restaurant,gmaps_v2,1147,3.5233203722039326e-05
107,61641,Savi Sagar,12.9902152297,77.5719898939,restaurant,zomato,10200,3.508688648257059e-05
108,ChIJ80ENaSgWrjsRrODlwYx7P10,Sri Raghavendra Stores,13.00074577331543,77.56378173828125,restaurant,gmaps_v2,6395,3.484601244683218e-05
109,ChIJB71YNfs9rjsRxtSJ3c7oHR8,Himadri Ice Creams,12.986368179321287,77.55574035644531,coffee_shop,gmaps_v2,421,3.4834138614221845e-05
110,ChIJ9e9PrIQ9rjsRQSCds-ay0w0,New Sagar Fast Food And Family Restaurant,13.004195213317873,77.55068969726562,restaurant,gmaps_v2,7451,3.425917587494859e-05
111,ChIJa3sGP549rjsR34Do2Rd9VCI,"AB's - Absolute Barbecues | Yeshwanthpur, Bangalore",13.02458667755127,77.54837799072266,restaurant,gmaps_v2,4548,3.4062982184431185e-05
112,19257063,Corner House Ice Creams,12.9880730754,77.542536892,restaurant,zomato,9857,3.3907003927323364e-05
113,18422900,Sri Maruthi Miltry Hotel,13.0002867332,77.5525090098,restaurant,zomato,9636,3.314678805353433e-05
114,ChIJpelrnHg9rjsRfQtUhhcYORU,Punjab Grill Malleshwaram,13.010931015014648,77.55500030517578,restaurant,gmaps_v2,4421,3.310047623731336e-05
115,51504,Nandhini Deluxe,12.9987370425,77.5840530973,restaurant,zomato,9602,3.30298317652591e-05
116,ChIJmzdUidwXrjsRCRUnfuPzFwk,Onesta,13.0292329788208,77.57087707519531,restaurant,gmaps_v2,7031,3.2995885833990984e-05
117,ChIJNSnVnSQWrjsRl-_7mT24Nic,Joyalukkas Jewellery,12.994579315185549,77.57170104980469,jewelry_store,gmaps_v2,5833,3.2912165943490515e-05
118,ChIJUVE05F89rjsRHv3T0j6Y4zI,Thalassery Restaurant,13.030168533325195,77.56221771240234,restaurant,gmaps_v2,7147,3.2658557513782933e-05
119,ChIJNSuppJUXrjsRtC81lm1KGfU,"Mia by Tanishq - Malleshwaram, Bengaluru",13.002223014831545,77.56938171386719,jewelry_store,gmaps_v2,147,3.2282731725228715e-05
120,18578555,Basaveshwarnagar Dosa Corner,12.9911397773,77.5415149704,restaurant,zomato,9344,3.214233993069996e-05
121,ChIJUUSLnpI9rjsRGQuAAkCJSdY,Nandhana Palace -Andhra Style Restaurant - Rajajinagar,12.989184379577637,77.55011749267578,restaurant,gmaps_v2,6966,3.186249147640618e-05
122,ChIJVcCXqyMWrjsR9g-B0aHQ2y8,Shiv Sagar,12.991619110107422,77.57030487060547,restaurant,gmaps_v2,5404,3.180878264504343e-05
123,ChIJN2x2rOc9rjsRZJ-ufDn0WUg,Tanishq Jewellery - Bangalore - Basaveshwaranagar,12.998199462890623,77.54381561279297,jewelry_store,gmaps_v2,1484,3.085442429365927e-05
124,ChIJE5RErWE9rjsR81kXD3rvkms,Ootada mane,13.030508995056152,77.55986022949219,restaurant,gmaps_v2,6434,3.0484959704512137e-05
125,18642512,Stories Bar & Kitchen,13.0085235727,77.5492112339,restaurant,zomato,8852,3.044991364154067e-05
126,ChIJNaHPzAEXrjsRDRdgqikmpHg,Manyavar & Mohey,13.031309127807615,77.57046508789062,clothing_store,gmaps_v2,1295,2.9999744017628267e-05
127,ChIJkyIwMSYWrjsRdrp4aJ6Z7xQ,Brahmins' Thatte Idli,13.008134841918944,77.56383514404297,restaurant,gmaps_v2,6235,2.9772841622621684e-05
128,ChIJm311mTkWrjsRbZczHVyCYbI,Umesh Dosa Point,12.988937377929688,77.57752990722656,restaurant,gmaps_v2,5191,2.972994420598381e-05
129,ChIJ7ZRjT50XrjsRvSu6Iq4fozY,Udupi Sri Krishnarajathadri (USKR),13.004132270812988,77.57140350341797,restaurant,gmaps_v2,406,2.952811669453534e-05
130,ChIJw-UMHiwWrjsRnO73wUSmSLM,P N RAO Fine Suits - Malleshwara,13.005620956420898,77.5687484741211,clothing_store,gmaps_v2,4512,2.8570522897431456e-05
131,53769,Shuchi Ruchi,13.0012337844,77.5722621381,restaurant,zomato,8292,2.8523574775830915e-05
132,ChIJbZ1UMP8XrjsRNU_MI1nKHBk,Shiv Sagar Express,13.0281400680542,77.57213592529297,restaurant,gmaps_v2,4175,2.836039347352556e-05
