"x_pixel","y_pixel","total_population","h3index_lvl11","f_0","f_1","f_10","f_15","f_20","f_25","f_30","f_35","f_40","f_45","f_5","f_50","f_55","f_60","f_65","f_70","f_75","f_80","m_0","m_1","m_10","m_15","m_20","m_25","m_30","m_35","m_40","m_45","m_5","m_50","m_55","m_60","m_65","m_70","m_75","m_80","h3index_lvl3","geometry"
"11238","26966","474.12335","8b6014594262fff","3.3751357","12.909886","13.917077","16.583706","23.856667","27.551897","22.656263","19.33985","14.520776","13.4136715","13.728462","11.540845","9.699718","7.265131","5.3496995","3.1975784","2.3492877",,"3.708295","14.208847","15.317054","17.662243","27.010168","31.049963","28.428411","23.26283","17.173456","14.719751","15.091471","11.707907","10.430118","7.6813626","5.5363936","3.1174386","2.2140496","1.9535187","836014fffffffff","POLYGON ((77.55124970486999 13.028750148890001, 77.55124970486999 13.029583482220001, 77.55041637154 13.029583482220001, 77.55041637154 13.028750148890001, 77.55124970486999 13.028750148890001))"
"11259","27015","538.3783","8b60145b0af0fff","3.8325467","14.659481","15.80317","18.83119","27.08981","31.285831","25.726723","21.960857","16.488686","15.231542","15.588994","13.104903","11.01426","8.249728","6.0747104","3.6309261","2.667672",,"4.210857","16.134481","17.392878","20.055895","30.670685","35.25797","32.281136","26.415495","19.500866","16.714626","17.136723","13.294605","11.843645","8.722369","6.286706","3.5399253","2.5141056","2.2182667","836014fffffffff","POLYGON ((77.5687497048 12.987916815719998, 77.5687497048 12.988750149049999, 77.56791637147 12.988750149049999, 77.56791637147 12.987916815719998, 77.5687497048 12.987916815719998))"
"11218","26958","294.4681","8b6014591d2afff","2.0962262","8.018061","8.643606","10.299793","14.816877","17.111908","14.071332","12.011577","9.018551","8.330951","8.526461","7.1677775","6.0242925","4.512221","3.3225865","1.9859492","1.4590936",,"2.3031445","8.824818","9.513103","10.96965","16.775452","19.284483","17.656292","14.448058","10.666075","9.14213","9.372997","7.271536","6.477928","4.770734","3.4385383","1.936176","1.3750999","1.2132897","836014fffffffff","POLYGON ((77.53458303826999 13.035416815529999, 77.53458303826999 13.036250148859999, 77.53374970493999 13.036250148859999, 77.53374970493999 13.035416815529999, 77.53458303826999 13.035416815529999))"
"11254","27016","531.86774","8b60145b1d82fff","3.7862","14.482205","15.612064","18.603466","26.762215","30.907495","25.415613","21.695286","16.28929","15.047348","15.400477","12.946426","10.881066","8.149965","6.0012493","3.5870175","2.635412",,"4.1599355","15.939369","17.182547","19.813362","30.299788","34.831596","31.890762","26.096056","19.265043","16.512499","16.92949","13.133835","11.700421","8.616891","6.2106814","3.4971173","2.483703","2.1914415","836014fffffffff","POLYGON ((77.56458303814999 12.987083482390002, 77.56458303814999 12.987916815720002, 77.56374970482 12.987916815720002, 77.56374970482 12.987083482390002, 77.56458303814999 12.987083482390002))"
"11230","27038","530.2229","8b60145a2756fff","3.7744908","14.437419","15.563783","18.545935","26.679451","30.811913","25.337013","21.628193","16.238913","15.000813","15.352851","12.906389","10.847416","8.124761","5.9826903","3.5759246","2.6272619",,"4.1470704","15.890076","17.12941","19.752087","30.206083","34.72388","31.792137","26.015352","19.205465","16.461432","16.877134","13.093217","11.664237","8.590242","6.1914744","3.4863021","2.4760218","2.1846642","836014fffffffff","POLYGON ((77.54458303822999 12.968750149129999, 77.54458303822999 12.96958348246, 77.5437497049 12.96958348246, 77.5437497049 12.968750149129999, 77.54458303822999 12.968750149129999))"
"11226","27022","469.02643","8b6014584c95fff","3.3388524","12.771102","13.767466","16.405428","23.600203","27.255709","22.412703","19.131943","14.364675","13.269471","13.580878","11.416779","9.595445","7.1870294","5.292189","3.163204","2.3240323",,"3.66843","14.056099","15.152392","17.47237","26.719803","30.716171","28.1228","23.01275","16.988838","14.561511","14.9292345","11.582044","10.317991","7.5987864","5.4768763","3.0839255","2.190248","1.932518","836014fffffffff","POLYGON ((77.54124970490999 12.982083482410001, 77.54124970490999 12.982916815740001, 77.54041637158 12.982916815740001, 77.54041637158 12.982083482410001, 77.54124970490999 12.982083482410001))"
"11233","26992","504.72748","8b60145b3271fff","3.5929968","13.743205","14.815409","17.654165","25.396587","29.330341","24.1187","20.588215","15.458076","14.279509","14.614619","12.285793","10.325825","7.734087","5.6950164","3.4039786","2.5009315",,"3.9476612","15.126012","16.305752","18.80232","28.753643","33.054203","30.263433","24.764421","18.281982","15.669895","16.065609","12.463638","11.10337","8.177186","5.893761","3.3186657","2.3569639","2.0796163","836014fffffffff","POLYGON ((77.54708303822 13.007083482310001, 77.54708303822 13.007916815640002, 77.54624970489 13.007916815640002, 77.54624970489 13.007083482310001, 77.54708303822 13.007083482310001))"
"11257","27038","516.93555","8b60145b5060fff","3.6799023","14.075618","15.173756","18.081175","26.010866","30.039766","24.702068","21.086191","15.831967","14.624893","14.968109","12.582955","10.57558","7.9211545","5.832764","3.4863122","2.5614228",,"4.043145","15.491872","16.700148","19.257101","29.449121","33.853703","30.995428","25.363409","18.724176","16.04891","16.454195","12.765102","11.371932","8.374971","6.0363164","3.3989358","2.4139729","2.129917","836014fffffffff","POLYGON ((77.56708303813998 12.968750149129999, 77.56708303813998 12.96958348246, 77.56624970480999 12.96958348246, 77.56624970480999 12.968750149129999, 77.56708303813998 12.968750149129999))"
"11231","26995","509.857","8b6014586c9cfff","3.6295123","13.882876","14.965977","17.833584","25.654692","29.628424","24.363815","20.797451","15.615175","14.42463","14.763146","12.410653","10.430765","7.812688","5.7528944","3.438573","2.5263484",,"3.987781","15.2797365","16.471466","18.993408","29.045866","33.390133","30.571","25.0161","18.467781","15.829147","16.228882","12.590305","11.216213","8.26029","5.9536595","3.3523932","2.3809175","2.1007512","836014fffffffff","POLYGON ((77.54541637156 13.004583482320001, 77.54541637156 13.005416815650001, 77.54458303823 13.005416815650001, 77.54458303823 13.004583482320001, 77.54541637156 13.004583482320001))"
"11218","26961","298.43625","8b60145956c0fff","2.1244743","8.126109","8.760084","10.438589","15.016543","17.3425","14.260951","12.17344","9.140081","8.443215","8.64136","7.264368","6.1054735","4.5730257","3.3673604","2.012711","1.4787557",,"2.3341808","8.943738","9.641297","11.117474","17.00151","19.544353","17.894222","14.642755","10.809807","9.2653265","9.499304","7.3695245","6.5652223","4.8350224","3.4848747","1.9622672","1.3936303","1.2296395","836014fffffffff","POLYGON ((77.53458303826999 13.032916815540002, 77.53458303826999 13.033750148870002, 77.53374970493999 13.033750148870002, 77.53374970493999 13.032916815540002, 77.53458303826999 13.032916815540002))"
