geoid,geometry,affluence_index
1131002720,"POLYGON ((77.61124970463 12.826250149700002, 77.61208303795999 12.826250149700002, 77.61291637129 12.826250149700002, 77.61374970462 12.826250149700002, 77.61458303795 12.826250149700002, 77.61541637127999 12.826250149700002, 77.61624970461 12.826250149700002, 77.61708303794 12.826250149700002, 77.61791637127 12.826250149700002, 77.61874970459999 12.826250149700002, 77.61874970459999 12.827083483030002, 77.61874970459999 12.827916816360002, 77.61874970459999 12.82875014969, 77.61874970459999 12.829583483019999, 77.61874970459999 12.830416816349999, 77.61874970459999 12.831250149679999, 77.61874970459999 12.832083483009999, 77.61874970459999 12.83291681634, 77.61874970459999 12.83375014967, 77.61874970459999 12.834583483, 77.61791637127 12.834583483, 77.61708303794 12.834583483, 77.61708303794 12.83375014967, 77.61708303794 12.83291681634, 77.61624970461 12.83291681634, 77.61624970460998 12.83375014967, 77.61541637127999 12.83375014967, 77.61541637127999 12.83291681634, 77.61458303795 12.83291681634, 77.61458303795 12.83375014967, 77.61374970462 12.83375014967, 77.61374970461999 12.834583483, 77.61291637129 12.834583483, 77.61208303795999 12.834583483, 77.61124970463 12.834583483, 77.6104163713 12.834583483, 77.6104163713 12.83375014967, 77.6104163713 12.83291681634, 77.6104163713 12.832083483009999, 77.6104163713 12.831250149679999, 77.6104163713 12.830416816349999, 77.6104163713 12.829583483019999, 77.6104163713 12.82875014969, 77.6104163713 12.827916816360002, 77.6104163713 12.827083483030002, 77.61124970463 12.827083483030002, 77.61124970463 12.826250149700002), (77.61124970463 12.831250149679999, 77.61124970463 12.832083483009999, 77.61124970463 12.83291681634, 77.61124970463 12.83375014967, 77.61208303795999 12.83375014967, 77.61208303795999 12.83291681634, 77.61208303795999 12.832083483009999, 77.61208303795999 12.831250149679999, 77.61124970463 12.831250149679999))",3.0799999999999987
1158002705,"POLYGON ((77.84124970370999 12.9512501492, 77.84208303704 12.9512501492, 77.84291637037 12.9512501492, 77.8437497037 12.9512501492, 77.8437497037 12.95208348253, 77.8437497037 12.95291681586, 77.8437497037 12.95375014919, 77.84291637037 12.95375014919, 77.84291637036999 12.95458348252, 77.84208303704 12.95458348252, 77.84208303704 12.95375014919, 77.84208303704 12.95291681586, 77.84124970370999 12.95291681586, 77.84124970370999 12.95208348253, 77.84124970370999 12.9512501492))",2.96
1160002706,"POLYGON ((77.85541637032 12.942916815899999, 77.85624970365 12.942916815899999, 77.85708303697999 12.942916815899999, 77.85791637031 12.942916815899999, 77.85874970364 12.942916815899999, 77.85958303697 12.942916815899999, 77.85958303697 12.943750149229999, 77.86041637029999 12.943750149229999, 77.86041637029999 12.944583482559999, 77.86041637029999 12.945416815889999, 77.86041637029999 12.946250149219999, 77.86041637029999 12.94708348255, 77.86041637029999 12.94791681588, 77.85958303697 12.94791681588, 77.85874970364 12.94791681588, 77.85791637031 12.94791681588, 77.85708303697999 12.94791681588, 77.85624970365 12.94791681588, 77.85624970365 12.94708348255, 77.85708303697999 12.94708348255, 77.85708303698 12.946250149219999, 77.85708303697999 12.945416815889999, 77.85624970365 12.945416815889999, 77.85624970365 12.944583482559999, 77.85541637032 12.944583482559999, 77.85541637032 12.943750149229999, 77.85541637032 12.942916815899999))",2.9599999999999995
1122002710,"POLYGON ((77.5354163716 12.9095834827, 77.53624970492999 12.9095834827, 77.53708303826 12.9095834827, 77.53708303826 12.91041681603, 77.53791637159 12.91041681603, 77.53791637159 12.9095834827, 77.53874970492 12.9095834827, 77.53958303824999 12.9095834827, 77.54041637158 12.9095834827, 77.54041637158 12.91041681603, 77.54124970491 12.91041681603, 77.54124970491 12.9095834827, 77.54208303824 12.9095834827, 77.54291637156999 12.9095834827, 77.5437497049 12.9095834827, 77.5437497049 12.91041681603, 77.5437497049 12.91125014936, 77.5437497049 12.91208348269, 77.5437497049 12.912916816020001, 77.5437497049 12.913750149350001, 77.5437497049 12.914583482680001, 77.5437497049 12.915416816010001, 77.5437497049 12.916250149340001, 77.5437497049 12.917083482670002, 77.5437497049 12.917916816000002, 77.54291637156999 12.917916816000002, 77.54208303824 12.917916816000002, 77.54124970491 12.917916816000002, 77.54041637158 12.917916816000002, 77.53958303824999 12.917916816000002, 77.53874970492 12.917916816000002, 77.53791637159 12.917916816000002, 77.53791637159 12.917083482670002, 77.53708303826 12.917083482670002, 77.53708303826 12.916250149340001, 77.53708303826 12.915416816010001, 77.53624970493 12.915416816010001, 77.53624970492999 12.914583482680001, 77.5354163716 12.914583482680001, 77.5354163716 12.913750149350001, 77.5354163716 12.912916816020001, 77.5354163716 12.91208348269, 77.5354163716 12.91125014936, 77.5354163716 12.91041681603, 77.5354163716 12.9095834827))",2.882471589944494
1103002688,"POLYGON ((77.3770830389 13.0929168153, 77.37791637223 13.0929168153, 77.37874970556 13.0929168153, 77.37958303888999 13.0929168153, 77.38041637222 13.0929168153, 77.38124970555 13.0929168153, 77.38208303888 13.0929168153, 77.38291637220999 13.0929168153, 77.38291637220999 13.09375014863, 77.38374970554 13.09375014863, 77.38374970554 13.0929168153, 77.38458303887 13.0929168153, 77.3854163722 13.0929168153, 77.3854163722 13.09375014863, 77.3854163722 13.09458348196, 77.3854163722 13.095416815290001, 77.3854163722 13.096250148620001, 77.3854163722 13.097083481950001, 77.3854163722 13.097916815280001, 77.3854163722 13.098750148610002, 77.3854163722 13.099583481940002, 77.3854163722 13.100416815270002, 77.3854163722 13.101250148600002, 77.38458303887 13.101250148600002, 77.38374970554 13.101250148600002, 77.38291637220999 13.101250148600002, 77.38208303888 13.101250148600002, 77.38124970555 13.101250148600002, 77.38041637222 13.101250148600002, 77.37958303888999 13.101250148600002, 77.37874970556 13.101250148600002, 77.37791637223 13.101250148600002, 77.3770830389 13.101250148600002, 77.3770830389 13.100416815270002, 77.3770830389 13.099583481940002, 77.3770830389 13.098750148610002, 77.3770830389 13.097916815280001, 77.3770830389 13.097083481950001, 77.3770830389 13.096250148620001, 77.3770830389 13.095416815290001, 77.3770830389 13.09458348196, 77.3770830389 13.09375014863, 77.3770830389 13.0929168153), (77.37958303888999 13.098750148610002, 77.37958303888999 13.099583481940002, 77.38041637222 13.099583481940002, 77.38041637222 13.098750148610002, 77.37958303888999 13.098750148610002))",3.69
1104002710,"MULTIPOLYGON (((77.3854163722 12.9095834827, 77.38624970552999 12.9095834827, 77.38708303885998 12.9095834827, 77.38708303885998 12.91041681603, 77.38708303885998 12.91125014936, 77.38624970552999 12.91125014936, 77.3854163722 12.91125014936, 77.3854163722 12.91041681603, 77.3854163722 12.9095834827)), ((77.39291637216999 12.913750149350001, 77.39374970549999 12.913750149350001, 77.39374970549999 12.914583482680001, 77.39291637216999 12.914583482680001, 77.39291637216999 12.913750149350001)))",2.5
1147002688,"MULTIPOLYGON (((77.74874970408 13.0929168153, 77.74958303740999 13.0929168153, 77.75041637074 13.0929168153, 77.75124970407 13.0929168153, 77.7520830374 13.0929168153, 77.7520830374 13.09375014863, 77.7520830374 13.09458348196, 77.7520830374 13.095416815290001, 77.7520830374 13.096250148620001, 77.75124970407 13.096250148620001, 77.75124970407 13.095416815290001, 77.75124970407 13.09458348196, 77.75041637074 13.09458348196, 77.75041637073998 13.095416815290001, 77.74958303740999 13.095416815290001, 77.74958303740999 13.09458348196, 77.74874970408 13.09458348196, 77.74874970408 13.09375014863, 77.74874970408 13.0929168153)), ((77.75041637074 13.098750148610002, 77.75124970407 13.098750148610002, 77.7520830374 13.098750148610002, 77.7520830374 13.099583481940002, 77.7520830374 13.100416815270002, 77.7520830374 13.101250148600002, 77.75124970407 13.101250148600002, 77.75041637074 13.101250148600002, 77.74958303740999 13.101250148600002, 77.74874970408 13.101250148600002, 77.74791637075 13.101250148600002, 77.74791637075 13.100416815270002, 77.74791637075 13.099583481940002, 77.74874970408 13.099583481940002, 77.74874970408 13.100416815270002, 77.74958303740999 13.100416815270002, 77.75041637074 13.100416815270002, 77.75041637074 13.099583481940002, 77.75041637074 13.098750148610002)))",3.2999999999999994
1134002729,"MULTIPOLYGON (((77.6354163712 12.75125015, 77.63624970453 12.75125015, 77.63708303786 12.75125015, 77.63791637118999 12.75125015, 77.63874970452 12.75125015, 77.63958303785 12.75125015, 77.64041637118 12.75125015, 77.64041637118 12.75208348333, 77.64124970450999 12.75208348333, 77.64124970450999 12.75291681666, 77.64208303784 12.75291681666, 77.64208303784 12.753750149990001, 77.64208303784 12.754583483320001, 77.64208303784 12.755416816650001, 77.64208303784 12.756250149980001, 77.64124970450999 12.756250149980001, 77.64124970450999 12.757083483310002, 77.64124970450999 12.757916816640002, 77.64041637118 12.757916816640002, 77.63958303785 12.757916816640002, 77.63958303785 12.757083483310002, 77.63874970452 12.757083483310002, 77.63874970452 12.757916816640002, 77.63791637119 12.757916816640002, 77.63791637118999 12.757083483310002, 77.63708303786 12.757083483310002, 77.63624970453 12.757083483310002, 77.6354163712 12.757083483310002, 77.6354163712 12.756250149980001, 77.6354163712 12.755416816650001, 77.6354163712 12.754583483320001, 77.6354163712 12.753750149990001, 77.6354163712 12.75291681666, 77.6354163712 12.75208348333, 77.6354163712 12.75125015)), ((77.6354163712 12.757916816640002, 77.63624970452999 12.757916816640002, 77.63624970452999 12.758750149970002, 77.63624970452999 12.759583483300002, 77.6354163712 12.759583483300002, 77.6354163712 12.758750149970002, 77.6354163712 12.757916816640002)), ((77.63874970452 12.757916816640002, 77.63958303785 12.757916816640002, 77.63958303784999 12.758750149970002, 77.63874970452 12.758750149970002, 77.63874970452 12.757916816640002)), ((77.64291637117 12.757916816640002, 77.6437497045 12.757916816640002, 77.6437497045 12.758750149970002, 77.6437497045 12.759583483300002, 77.64291637117 12.759583483300002, 77.64208303784 12.759583483300002, 77.64124970451 12.759583483300002, 77.64124970451 12.758750149970002, 77.64208303784 12.758750149970002, 77.64291637117 12.758750149970002, 77.64291637117 12.757916816640002)))",2.5919370931377905
1147002716,"MULTIPOLYGON (((77.7437497041 12.86375014955, 77.74458303742999 12.86375014955, 77.74458303742999 12.86458348288, 77.74458303742999 12.86541681621, 77.74458303742999 12.86625014954, 77.7437497041 12.86625014954, 77.7437497041 12.86541681621, 77.7437497041 12.86458348288, 77.7437497041 12.86375014955)), ((77.75124970407 12.86375014955, 77.7520830374 12.86375014955, 77.7520830374 12.86458348288, 77.7520830374 12.86541681621, 77.7520830374 12.86625014954, 77.7520830374 12.867083482870001, 77.7520830374 12.867916816200001, 77.75124970407 12.867916816200001, 77.75041637074 12.867916816200001, 77.74958303740999 12.867916816200001, 77.74958303740999 12.867083482870001, 77.75041637074 12.867083482870001, 77.75041637074 12.86625014954, 77.75041637074 12.86541681621, 77.75124970407 12.86541681621, 77.75124970407 12.86458348288, 77.75124970407 12.86375014955)))",2.6425000000003274
1136002696,"POLYGON ((77.6520830378 13.0262501489, 77.65291637113 13.0262501489, 77.65374970446 13.0262501489, 77.65458303778999 13.0262501489, 77.65541637112 13.0262501489, 77.65624970445 13.0262501489, 77.65708303778 13.0262501489, 77.65791637110999 13.0262501489, 77.65874970444 13.0262501489, 77.65958303777 13.0262501489, 77.6604163711 13.0262501489, 77.6604163711 13.027083482230001, 77.6604163711 13.027916815560001, 77.6604163711 13.028750148890001, 77.6604163711 13.029583482220001, 77.65958303777 13.029583482220001, 77.65874970444 13.029583482220001, 77.65874970443998 13.030416815550002, 77.65874970444 13.031250148880002, 77.65958303777 13.031250148880002, 77.65958303777 13.030416815550002, 77.6604163711 13.030416815550002, 77.6604163711 13.031250148880002, 77.6604163711 13.032083482210002, 77.6604163711 13.032916815540002, 77.6604163711 13.03375014887, 77.6604163711 13.034583482199999, 77.65958303777 13.034583482199999, 77.65958303777 13.03375014887, 77.65874970444 13.033750148870002, 77.65874970444 13.032916815540002, 77.65791637110999 13.032916815540002, 77.65791637110999 13.03375014887, 77.65791637110999 13.034583482199999, 77.65708303778 13.034583482199999, 77.65624970445 13.034583482199999, 77.65541637112 13.034583482199999, 77.65458303778999 13.034583482199999, 77.65374970446 13.034583482199999, 77.65291637113 13.034583482199999, 77.6520830378 13.034583482199999, 77.6520830378 13.03375014887, 77.6520830378 13.032916815540002, 77.6520830378 13.032083482210002, 77.6520830378 13.031250148880002, 77.6520830378 13.030416815550002, 77.6520830378 13.029583482220001, 77.6520830378 13.028750148890001, 77.6520830378 13.027916815560001, 77.6520830378 13.027083482230001, 77.6520830378 13.0262501489), (77.65458303778999 13.031250148880002, 77.65458303778999 13.032083482210002, 77.65541637112 13.032083482210002, 77.65541637112 13.031250148880002, 77.65458303778999 13.031250148880002), (77.65624970445 13.031250148880002, 77.65624970444999 13.032083482210002, 77.65624970445 13.032916815540002, 77.65708303778 13.032916815540002, 77.65708303778 13.032083482210002, 77.65708303778 13.031250148880002, 77.65624970445 13.031250148880002))",2.8602295903600643
