id,name,lat,lng,cid,number_of_votes,place_url,source,category,created_at,date,new_num_reviews
ChIJOVVVbJc9rjsRlCFaDFy8uC4,VS helmets showroom,12.998644828796388,77.54081726074219,0x3bae3d976c555539:0x2eb8bc5c0c5a2194,42,https://www.google.com/maps/place/?q=place_id:ChIJOVVVbJc9rjsRlCFaDFy8uC4,gmaps_v2,clothing_store,1687847039,1559355158.0,61.0
ChIJTZsYG4s9rjsR8WTsYuJA1aQ,City Riders,12.99008846282959,77.5585708618164,0x3bae3d8b1b189b4d:0xa4d540e262ec64f1,227,https://www.google.com/maps/place/?q=place_id:ChIJTZsYG4s9rjsR8WTsYuJA1aQ,gmaps_v2,clothing_store,1687847039,1484736483.0,229.0
ChIJWwN8ZFs9rjsRt95ZwclYYyE,Taj Garments,13.038991928100586,77.55248260498047,0x3bae3d5b647c035b:0x216358c9c159deb7,12,https://www.google.com/maps/place/?q=place_id:ChIJWwN8ZFs9rjsRt95ZwclYYyE,gmaps_v2,clothing_store,1687847039,,
ChIJFc0UynY9rjsRADfKdPDyHrU,Brand House,12.972810745239258,77.55183410644531,0x3bae3d76ca14cd15:0xb51ef2f074ca3700,12,https://www.google.com/maps/place/?q=place_id:ChIJFc0UynY9rjsRADfKdPDyHrU,gmaps_v2,clothing_store,1687847039,,
ChIJz9kkjSUWrjsRi7Rz4X3I-lA,Rida's boutique,12.999284744262695,77.56916046142578,0x3bae16258d24d9cf:0x50fac87de173b48b,20,https://www.google.com/maps/place/?q=place_id:ChIJz9kkjSUWrjsRi7Rz4X3I-lA,gmaps_v2,clothing_store,1687847039,,
ChIJjTo8Cx8WrjsRAhf9vQ8ZzoU,Mohan Cut - Piece Stores,12.992491722106934,77.5663833618164,0x3bae161f0b3c3a8d:0x85ce190fbdfd1702,15,https://www.google.com/maps/place/?q=place_id:ChIJjTo8Cx8WrjsRAhf9vQ8ZzoU,gmaps_v2,clothing_store,1687847039,1506631996.0,16.0
ChIJ7wRLYMY9rjsRBlZ-ey3daq0,Attire,12.99773406982422,77.55158996582031,0x3bae3dc6604b04ef:0xad6add2d7b7e5606,79,https://www.google.com/maps/place/?q=place_id:ChIJ7wRLYMY9rjsRBlZ-ey3daq0,gmaps_v2,clothing_store,1687847039,1681041944.0,105.0
ChIJKcyg1RE9rjsRlW2tGQ9AulU,Sri Maruthi Garments,13.020346641540527,77.53629302978516,0x3bae3d11d5a0cc29:0x55ba400f19ad6d95,13,https://www.google.com/maps/place/?q=place_id:ChIJKcyg1RE9rjsRlW2tGQ9AulU,gmaps_v2,clothing_store,1687847039,1500015667.0,13.0
ChIJSSay2ug9rjsRtAUMkGPHuQk,S. V Helmet,12.978193283081056,77.54397583007812,0x3bae3de8dab22649:0x9b9c763900c05b4,18,https://www.google.com/maps/place/?q=place_id:ChIJSSay2ug9rjsRtAUMkGPHuQk,gmaps_v2,clothing_store,1687847039,1517874644.0,19.0
ChIJeaJGbVkXrjsR_lpHW759dkw,Roadster Go,12.991744995117188,77.57038879394531,0x3bae17596d46a279:0x4c767dbe5b475afe,33,https://www.google.com/maps/place/?q=place_id:ChIJeaJGbVkXrjsR_lpHW759dkw,gmaps_v2,clothing_store,1687847039,1535382994.0,33.0
ChIJQfhDIp49rjsRAA0bWqEAigA,A P Boutique,13.00951862335205,77.54331970214844,0x3bae3d9e2243f841:0x8a00a15a1b0d00,11,https://www.google.com/maps/place/?q=place_id:ChIJQfhDIp49rjsRAA0bWqEAigA,gmaps_v2,clothing_store,1687847039,1680845515.0,12.0
ChIJD2hiq949rjsRi5FaXdv4Hz0,Stylegrow Apparels,12.97869110107422,77.53646087646484,0x3bae3ddeab62680f:0x3d1ff8db5d5a918b,311,https://www.google.com/maps/place/?q=place_id:ChIJD2hiq949rjsRi5FaXdv4Hz0,gmaps_v2,clothing_store,1687847039,1486817283.0,328.0
ChIJDW-K3189rjsRdW3sdm_gs3g,Infinite,13.03333854675293,77.5604019165039,0x3bae3d5fdf8a6f0d:0x78b3e06f76ec6d75,32,https://www.google.com/maps/place/?q=place_id:ChIJDW-K3189rjsRdW3sdm_gs3g,gmaps_v2,clothing_store,1687847039,1481298864.0,32.0
ChIJla1hp4s9rjsRgHgpis5Ec3s,Amazers Bike Accessories,12.988739967346191,77.55941772460938,0x3bae3d8ba761ad95:0x7b7344ce8a297880,23,https://www.google.com/maps/place/?q=place_id:ChIJla1hp4s9rjsRgHgpis5Ec3s,gmaps_v2,clothing_store,1687847039,1484389317.0,26.0
ChIJM33HU6Y9rjsRGibPiuyd0VU,Egg-Gobi,12.997488975524902,77.54550170898438,0x3bae3da653c77d33:0x55d19dec8acf261a,35,https://www.google.com/maps/place/?q=place_id:ChIJM33HU6Y9rjsRGibPiuyd0VU,gmaps_v2,restaurant,1699615207,,
ChIJeS1ZZb49rjsR4PoAnth8rj0,Bangarpet chats,12.991918563842772,77.53687286376953,0x3bae3dbe65592d79:0x3dae7cd89e00fae0,314,https://www.google.com/maps/place/?q=place_id:ChIJeS1ZZb49rjsR4PoAnth8rj0,gmaps_v2,restaurant,1699615207,1463572904.0,319.0
ChIJoS1sTxI9rjsRJXMecHGL0qA,Chicha Bhai Hyderabadi Biryani,12.98945426940918,77.54579162597656,0x3bae3d124f6c2da1:0xa0d28b71701e7325,33,https://www.google.com/maps/place/?q=place_id:ChIJoS1sTxI9rjsRJXMecHGL0qA,gmaps_v2,restaurant,1699615207,1694884697.0,49.0
ChIJQzTjFzEXrjsR0iH-McMfZ3Q,Glen's Bakehouse BEL Road,13.02823257446289,77.57266998291016,0x3bae173117e33443:0x74671fc331fe21d2,1147,https://www.google.com/maps/place/?q=place_id:ChIJQzTjFzEXrjsR0iH-McMfZ3Q,gmaps_v2,restaurant,1687847039,1655292520.0,1456.0
ChIJpX9_x809rjsRDO2_dj0erS4,Lanish Kitchen,12.993330955505373,77.55279541015625,0x3bae3dcdc77f7fa5:0x2ead1e3d76bfed0c,54,https://www.google.com/maps/place/?q=place_id:ChIJpX9_x809rjsRDO2_dj0erS4,gmaps_v2,restaurant,1699615207,1676975702.0,60.0
ChIJ65c5Uu89rjsRO-08oBXM1GA,Malnad Cafe ಮಲ್ನಾಡು ಕೆಫೆ,12.97669792175293,77.54508209228516,0x3bae3def523997eb:0x60d4cc15a03ced3b,11,https://www.google.com/maps/place/?q=place_id:ChIJ65c5Uu89rjsRO-08oBXM1GA,gmaps_v2,restaurant,1699615207,1499913919.0,11.0
ChIJ8zgQIF49rjsRGpq2VfjV57I,Vybhav Tiffin Centre,13.03324031829834,77.55779266357422,0x3bae3d5e201038f3:0xb2e7d5f855b69a1a,229,https://www.google.com/maps/place/?q=place_id:ChIJ8zgQIF49rjsRGpq2VfjV57I,gmaps_v2,restaurant,1699615207,1516708775.0,235.0
ChIJlWpYqeAXrjsREpXlHz_HUSI,Sri Banashakari Rotti Mane,13.034002304077148,77.56731414794922,0x3bae17e0a9586a95:0x2251c73f1fe59512,364,https://www.google.com/maps/place/?q=place_id:ChIJlWpYqeAXrjsREpXlHz_HUSI,gmaps_v2,restaurant,1699615207,1483179988.0,365.0
ChIJT8POpiU9rjsRZgm209fdMuk,Raj Lakshmi Momos Corner,12.998271942138672,77.54908752441406,0x3bae3d25a6cec34f:0xe932ddd7d3b60966,52,https://www.google.com/maps/place/?q=place_id:ChIJT8POpiU9rjsRZgm209fdMuk,gmaps_v2,restaurant,1699615207,1604861483.0,52.0
ChIJqdj_cjsWrjsRP7yW2DJQ1Uo,Mandya Rajanna Non-Veg Hotel,12.995960235595703,77.57583618164062,0x3bae163b72ffd8a9:0x4ad55032d896bc3f,44,https://www.google.com/maps/place/?q=place_id:ChIJqdj_cjsWrjsRP7yW2DJQ1Uo,gmaps_v2,restaurant,1687847039,1438023329.0,43.0
ChIJI1WYDD0WrjsRRws2KRDujNY,Chikkanna Tiffin Room,12.99061679840088,77.57585144042969,0x3bae163d0c985523:0xd68cee1029360b47,3354,https://www.google.com/maps/place/?q=place_id:ChIJI1WYDD0WrjsRRws2KRDujNY,gmaps_v2,restaurant,1699615207,1505619230.0,3399.0
ChIJS5dJlZA9rjsRKpxUeEtPSDU,Kadai Restaurant,12.997364044189451,77.54566192626953,0x3bae3d909549974b:0x35484f4b78549c2a,2170,https://www.google.com/maps/place/?q=place_id:ChIJS5dJlZA9rjsRKpxUeEtPSDU,gmaps_v2,restaurant,1699615207,1506499728.0,2205.0
ChIJH9vkT1EXrjsRHtHiOGSxhn4,Santa Banta Ke Parathey - Mathikere,13.03018856048584,77.5628433227539,0x3bae17514fe4db1f:0x7e86b16438e2d11e,123,https://www.google.com/maps/place/?q=place_id:ChIJH9vkT1EXrjsRHtHiOGSxhn4,gmaps_v2,restaurant,1699615207,1690801359.0,131.0
ChIJMQiCD-g9rjsR0fyRIq2BPuI,Sree Ganesh Hot Chips,12.972448348999023,77.54998779296875,0x3bae3de80f820831:0xe23e81ad2291fcd1,53,https://www.google.com/maps/place/?q=place_id:ChIJMQiCD-g9rjsR0fyRIq2BPuI,gmaps_v2,restaurant,1687847039,1487550686.0,52.0
ChIJfZq-TX89rjsRyX4yOvdkSsw,Galaxy Club,13.011839866638184,77.5567398071289,0x3bae3d7f4dbe9a7d:0xcc4a64f73a327ec9,950,https://www.google.com/maps/place/?q=place_id:ChIJfZq-TX89rjsRyX4yOvdkSsw,gmaps_v2,restaurant,1699615207,1309622640.0,960.0
ChIJuz2OJo49rjsRDPDNrkeoKLM,Bakasura Nati uta,12.98472785949707,77.54754638671875,0x3bae3d8e268e3dbb:0xb328a847aecdf00c,102,https://www.google.com/maps/place/?q=place_id:ChIJuz2OJo49rjsRDPDNrkeoKLM,gmaps_v2,restaurant,1699615207,1699976874.0,217.0
ChIJ-W1vRG89rjsR2PY1iwI3hvQ,Hotel Ziel,12.97879409790039,77.53630828857422,0x3bae3d6f446f6df9:0xf48637028b35f6d8,11,https://www.google.com/maps/place/?q=place_id:ChIJ-W1vRG89rjsR2PY1iwI3hvQ,gmaps_v2,restaurant,1699615207,1637056377.0,11.0
ChIJs-CLNGcXrjsR-5IImTNoIlE,Holige Mane malleshwaram,12.998418807983398,77.57193756103516,0x3bae1767348be0b3:0x51226833990892fb,124,https://www.google.com/maps/place/?q=place_id:ChIJs-CLNGcXrjsR-5IImTNoIlE,gmaps_v2,restaurant,1687847039,1562305317.0,132.0
ChIJq9xE45w9rjsRIyyzZMvgvFg,ganesh food point,13.00704574584961,77.54835510253906,0x3bae3d9ce344dcab:0x58bce0cb64b32c23,71,https://www.google.com/maps/place/?q=place_id:ChIJq9xE45w9rjsRIyyzZMvgvFg,gmaps_v2,restaurant,1699615207,1523897662.0,71.0
ChIJLRriNSQWrjsRbUvppNE74lI,Indira Canteen,12.99659824371338,77.56907653808594,0x3bae162435e21a2d:0x52e23bd1a4e94b6d,77,https://www.google.com/maps/place/?q=place_id:ChIJLRriNSQWrjsRbUvppNE74lI,gmaps_v2,restaurant,1687847039,1511003855.0,79.0
ChIJS8y8pd0XrjsRNT5PuEkfLts,Kargeens,13.031784057617188,77.56986999511719,0x3bae17dda5bccc4b:0xdb2e1f49b84f3e35,2209,https://www.google.com/maps/place/?q=place_id:ChIJS8y8pd0XrjsRNT5PuEkfLts,gmaps_v2,restaurant,1699615207,1455672338.0,2222.0
ChIJ2wh65i8WrjsRSCAMu_uTaWo,Annapurna,13.00113582611084,77.57282257080078,0x3bae162fe67a08db:0x6a6993fbbb0c2048,38,https://www.google.com/maps/place/?q=place_id:ChIJ2wh65i8WrjsRSCAMu_uTaWo,gmaps_v2,restaurant,1699615207,1508934097.0,38.0
ChIJCcvoOy89rjsRWwcZwiH-Wzc,Venky’s Chats,12.984111785888672,77.5558090209961,0x3bae3d2f3be8cb09:0x375bfe21c219075b,71,https://www.google.com/maps/place/?q=place_id:ChIJCcvoOy89rjsRWwcZwiH-Wzc,gmaps_v2,restaurant,1699615207,1533347568.0,71.0
ChIJHUYGDIU9rjsR6Y8QTLse-Jo,Halli Mane Donne Biriyani,13.00082302093506,77.5531005859375,0x3bae3d850c06461d:0x9af81ebb4c108fe9,705,https://www.google.com/maps/place/?q=place_id:ChIJHUYGDIU9rjsR6Y8QTLse-Jo,gmaps_v2,restaurant,1699615207,1509618054.0,710.0
ChIJw_S5-4c9rjsRpSVPSduNoJM,Lepcha Darjeeling Momos & Chinese Restaurant,12.998431205749512,77.5523681640625,0x3bae3d87fbb9f4c3:0x93a08ddb494f25a5,11,https://www.google.com/maps/place/?q=place_id:ChIJw_S5-4c9rjsRpSVPSduNoJM,gmaps_v2,restaurant,1699615207,1606130627.0,16.0
ChIJY3Q3hOw9rjsReevaMMsma_o,Akshay Upahar,12.985115051269531,77.54531860351562,0x3bae3dec84377463:0xfa6b26cb30daeb79,201,https://www.google.com/maps/place/?q=place_id:ChIJY3Q3hOw9rjsReevaMMsma_o,gmaps_v2,restaurant,1699615207,1446892642.0,201.0
