"id","name","lat","lng","top_category","type","sub_categories","category","brand_name","brand_id","address","source","number_of_votes","rating","town_name","pincode","created_at","verified","last_verification_date","active","image_url","services","oldest_review_timestamp","top_reviews","top_review_keywords","price_level","additional_data"
"ae5d9ca6-20cc-48fe-99dc-ec1dff142008","Confident Solutions","12.9927723","77.5358964","company","SMEs","[Security, Safety, Facility Management]","Private Sector","N_A","N_A"," - No 56, SBI Staff Colony 8th Main, 1st G Cross    Basaveshwaranagar","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=www.confidentsolutions.co.in, scrape_url=https://www.fundoodata.com/companies-detail/confident-solutions-bangalore-bengaluru/112079.html}"
"a7643385-93b4-42e4-a3a8-42163fef3793","Fimen Fibre Products Pvt Ltd","12.9990732","77.5761604","company","SMEs","[Wood, Plastic  Furniture, Fixtures, Fittings]","Private Sector","N_A","N_A"," - 27/1, Shalimar Plaza, GuttahalliMain Road    Malleshwaram","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=www.fimendoors.net, scrape_url=https://www.fundoodata.com/companies-detail/fimen-fibre-products-pvt-ltd-bangalore-bengaluru/112123.html}"
"2947427f-7f0b-4819-a294-7d29fb3ca419","Ferroplast Decors & Engg Works","12.9845693","77.560307","company","SMEs","[Wood, Plastic  Furniture, Fixtures, Fittings]","Private Sector","N_A","N_A"," - Kalpavalli 17 / A, 4 th N Bock    Dr. Rajkumar Road Rajajinagar","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=www.ferroplast.in, scrape_url=https://www.fundoodata.com/companies-detail/ferroplast-decors-engg-works-bangalore-bengaluru/112136.html}"
"dad974e8-fbf4-49cd-bad5-1569885b53eb","Shubham Consumer Durables Pvt Ltd","13.0044189","77.5529325","company","SMEs","[Electrical, Electronics, Batteries]","Private Sector","N_A","N_A"," - 431, 1st N Block Rajajinagar  ","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=www.shubhamworld.com, scrape_url=https://www.fundoodata.com/companies-detail/shubham-consumer-durables-pvt-ltd-bangalore-bengaluru/112152.html}"
"fdce78a4-69d7-4144-818e-a830250755ea","CT Control Technology India Pvt Ltd","12.9951261","77.5400786","company","SMEs","[Engineering]","Private Sector","N_A","N_A","- Srishti 7 Sharada Colony 8th Main Road    Basaveshwara Nagar","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=controltechnology.co.in, scrape_url=https://www.fundoodata.com/companies-detail/ct-control-technology-india-pvt-ltd-bangalore-bengaluru/112392.html}"
"82a8e8b3-5ea1-465b-9eb2-2daea17e7d93","Advanced Machine Tool Testing Facility ( AMTTF )","13.0325955","77.5353885","company","SMEs","[Engineering]","Private Sector","N_A","N_A","- CMTI Premises    Tumkur Road","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=www.amttf.in, scrape_url=https://www.fundoodata.com/companies-detail/advanced-machine-tool-testing-facility-amttf--bangalore-bengaluru/112664.html}"
"a1b8b4ce-b940-46d0-a2a1-98cbb9799b58","Metro Motors, Bangalore","13.0216853","77.5353243","company","SMEs","[Automobile, Auto Ancillaries, Electric Vehicle &  Dealers]","Private Sector","N_A","N_A"," - C-/99, D.D.U.T.T.L., 98, Kanteerava    Studio Main Rd, Yeshwanthpur","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=null, scrape_url=https://www.fundoodata.com/companies-detail/metro-motors-bangalore-bangalore-bengaluru/112680.html}"
"c803d0d6-2295-4cb2-a71c-48a76b1cc20b","Maxon Precision Motor India Pvt Ltd","13.0373918","77.5656575","company","MNC","[Automobile, Auto Ancillaries, Electric Vehicle &  Dealers]","Private Sector","N_A","N_A"," - Niran Arcade, No. 563/564, 2nd Floor    New B.E.L. Road, R.M.V. 2nd Stage","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=www.maxonmotor.in, scrape_url=https://www.fundoodata.com/companies-detail/maxon-precision-motor-india-pvt-ltd-bangalore-bengaluru/112717.html}"
"8e56c4a6-a699-4bd5-9cb9-e491471bb658","Megabound India Pvt Ltd","12.9820391","77.5491729","company","SMEs","[Engineering]","Private Sector","N_A","N_A"," - 134, Ramegowda Indl Area Raman College Road    Magadi Main Road Kamashipalya","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=www.megabound.in, scrape_url=https://www.fundoodata.com/companies-detail/megabound-india-pvt-ltd-bangalore-bengaluru/112799.html}"
"76cf4b81-b99e-4231-b60c-8b447a80891a","THK India Pvt Ltd","12.9971252","77.5498534","company","MNC","[Engineering]","Private Sector","N_A","N_A"," - 2nd Floor, 4/4, 1st Main Road,    Industrial Town West of Chord Road Service Road, Rajajinagar,","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=www.thk.com, scrape_url=https://www.fundoodata.com/companies-detail/thk-india-pvt-ltd-bangalore-bengaluru/112819.html}"
