"id","name","lat","lng","cid","number_of_votes","place_url","source","category","created_at"
"ChIJ9QtIjMAXrjsRv19lp5R60_k","Snehajeevi Egg Rice Adda New","13.009015083312988","77.56328582763672","0x3bae17c08c480bf5:0xf9d37a94a7655fbf","0","https://www.google.com/maps/place/?q=place_id:ChIJ9QtIjMAXrjsRv19lp5R60_k","gmaps_v2","restaurant","1699615207"
"54595","Chetty's Corner","12.9925239788","77.5783007964",,"2273",,"zomato","restaurant","1688639100"
"ChIJvwGo2J09rjsRF3EZzd8S7CE","MUNCHING CORNER Pure Veg (McCain French Fries,Veg Burgers,Veg Hotdogs,Veg Rolls,NACHOS,)..","12.989117622375488","77.54113006591797","0x3bae3d9dd8a801bf:0x21ec12dfcd197117","97","https://www.google.com/maps/place/?q=place_id:ChIJvwGo2J09rjsRF3EZzd8S7CE","gmaps_v2","restaurant","1699615207"
"ChIJGeyoCmEXrjsRqHDg4uWwMFE","Kirans Chinese corner","12.996138572692871","77.57576751708984","0x3bae17610aa8ec19:0x5130b0e5e2e070a8","12","https://www.google.com/maps/place/?q=place_id:ChIJGeyoCmEXrjsRqHDg4uWwMFE","gmaps_v2","restaurant","1699615207"
"ChIJjUDfxhI9rjsRNzL1dv5BZJk","Namaste chats","12.986685752868652","77.53831481933594","0x3bae3d12c6df408d:0x996441fe76f53237","4","https://www.google.com/maps/place/?q=place_id:ChIJjUDfxhI9rjsRNzL1dv5BZJk","gmaps_v2","restaurant","1699615207"
"ChIJuYX4qCMWrjsR_iDgDZlwmig","La Vie En Rose Patisserie","12.992015838623047","77.57035827636719","0x3bae1623a8f885b9:0x289a70990de020fe","1","https://www.google.com/maps/place/?q=place_id:ChIJuYX4qCMWrjsR_iDgDZlwmig","gmaps_v2","restaurant","1687847039"
"ChIJmeZ3h7Q9rjsRa8cSI7fqrMw","Spicy CLub","13.014259338378906","77.53165435791016","0x3bae3db48777e699:0xccaceab72312c76b","92","https://www.google.com/maps/place/?q=place_id:ChIJmeZ3h7Q9rjsRa8cSI7fqrMw","gmaps_v2","restaurant","1699615207"
"ChIJZeEb0rg9rjsRu-aqOBy7qho","Sachin Biryani'S","12.989004135131836","77.53295135498047","0x3bae3db8d21be165:0x1aaabb1c38aae6bb","0","https://www.google.com/maps/place/?q=place_id:ChIJZeEb0rg9rjsRu-aqOBy7qho","gmaps_v2","restaurant","1687847039"
"ChIJSzldQVQ9rjsRVlPKAahDJAg","Cafe@99","12.995331764221191","77.5540771484375","0x3bae3d54415d394b:0x82443a801ca5356","4","https://www.google.com/maps/place/?q=place_id:ChIJSzldQVQ9rjsRVlPKAahDJAg","gmaps_v2","restaurant","1699615207"
"54686","1947","13.005654071","77.5690495219",,"1796",,"zomato","restaurant","1688639100"
"ChIJk5W5URMXrjsRa4lxd6R5KW8","Hungrama Rstaurant","13.030852317810059","77.56294250488281","0x3bae171351b99593:0x6f2979a47771896b","5","https://www.google.com/maps/place/?q=place_id:ChIJk5W5URMXrjsRa4lxd6R5KW8","gmaps_v2","restaurant","1699615207"
"ChIJR1EkyC89rjsRmmPIedzvTyY","The South Secret Hotel","12.991004943847656","77.54219818115234","0x3bae3d2fc8245147:0x264fefdc79c8639a","4","https://www.google.com/maps/place/?q=place_id:ChIJR1EkyC89rjsRmmPIedzvTyY","gmaps_v2","restaurant","1699615207"
"ChIJ-dHyHDsWrjsRsG2yrzPX0aU","Sri Manjunatha Chats And Tiffin Centre","12.997185707092285","77.57535552978516","0x3bae163b1cf2d1f9:0xa5d1d733afb26db0","44","https://www.google.com/maps/place/?q=place_id:ChIJ-dHyHDsWrjsRsG2yrzPX0aU","gmaps_v2","restaurant","1699615207"
"18686752","Vinayaka Refreshments","13.0195925995","77.5579495355",,"533",,"zomato","restaurant","1688639100"
"ChIJbbBa2HA9rjsRiFI1ridaJdA","Dakshin Delicacy","13.031956672668457","77.53380584716797","0x3bae3d70d85ab06d:0xd0255a27ae355288","2321","https://www.google.com/maps/place/?q=place_id:ChIJbbBa2HA9rjsRiFI1ridaJdA","gmaps_v2","restaurant","1699615207"
"ChIJm4NrqiEWrjsRj9WpiuGpoFQ","Hotel Sri Gurupriya","12.991130828857422","77.5650634765625","0x3bae1621aa6b839b:0x54a0a9e18aa9d58f","75","https://www.google.com/maps/place/?q=place_id:ChIJm4NrqiEWrjsRj9WpiuGpoFQ","gmaps_v2","restaurant","1699615207"
"ChIJNYxx0okWrjsRsStGcNftB9w","Friendship Garments","13.020404815673828","77.56077575683594","0x3bae1689d2718c35:0xdc07edd770462bb1","1","https://www.google.com/maps/place/?q=place_id:ChIJNYxx0okWrjsRsStGcNftB9w","gmaps_v2","clothing_store","1687847039"
"ChIJdRaQj_Q9rjsR5NHaAKafENE","My Brand Products","12.985735893249512","77.55697631835938","0x3bae3df48f901675:0xd1109fa600dad1e4","1","https://www.google.com/maps/place/?q=place_id:ChIJdRaQj_Q9rjsR5NHaAKafENE","gmaps_v2","clothing_store","1687847039"
"ChIJa38x8KI9rjsRd03kVc3HWus","Bherav Textile Showroom","13.00050163269043","77.53701782226562","0x3bae3da2f0317f6b:0xeb5ac7cd55e44d77","8","https://www.google.com/maps/place/?q=place_id:ChIJa38x8KI9rjsRd03kVc3HWus","gmaps_v2","clothing_store","1687847039"
"ChIJdX2OdVs9rjsRyZnzuez5QOY","Ramya Fashions","13.040680885314941","77.55355834960938","0x3bae3d5b758e7d75:0xe640f9ecb9f399c9","4","https://www.google.com/maps/place/?q=place_id:ChIJdX2OdVs9rjsRyZnzuez5QOY","gmaps_v2","clothing_store","1687847039"
"ChIJ4a-1X8U9rjsRYL1PEVllSn8","Bhikshu Collection","13.000382423400879","77.56039428710938","0x3bae3dc55fb5afe1:0x7f4a6559114fbd60","1","https://www.google.com/maps/place/?q=place_id:ChIJ4a-1X8U9rjsRYL1PEVllSn8","gmaps_v2","clothing_store","1687847039"
