id,name,lat,lng,cid,brand_id,brand_name,number_of_votes,rating,place_url,source,category,top_category,type,created_at,number_of_reviews,date,url,reviews_per_day
ChIJMR0_0PgZrjsRbYxLEUtIXEE,Dutone Creations,13.066643714904783,77.65107727050781,0x3bae19f8d03f1d31:0x415c484b114b8c6d,N_A,N_A,47,4.5,https://www.google.com/maps/place/?q=place_id:ChIJMR0_0PgZrjsRbYxLEUtIXEE,gmaps_v2,clothing_store,retail,N_A,1687847039,58,1517121784.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300403250621783345!2y4709718797572607085!2m2!2i10!3sCAESBkVnSUlNZw==!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.023785584622497708
ChIJbaDhrOcZrjsR0uWGDBdNpLY,Home Drapes | D'Decor Showroom,13.070417404174805,77.62181091308594,0x3bae19e7ace1a06d:0xb6a44d170c86e5d2,N_A,N_A,52,4.0,https://www.google.com/maps/place/?q=place_id:ChIJbaDhrOcZrjsR0uWGDBdNpLY,gmaps_v2,home_decor,retail,N_A,1695212099,55,1505504536.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300403177014009965!2y13160728772473185746!2m2!2i10!3sCAESBkVnSUlNZw==!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.02368276693322975
ChIJXWlFpQUXrjsRS4ex5Q4_gbE,Krishna Electronics & Electricals,13.049588203430176,77.60362243652344,0x3bae1705a545695d:0xb1813f0ee5b1874b,N_A,N_A,26,4.900000095367432,https://www.google.com/maps/place/?q=place_id:ChIJXWlFpQUXrjsRS4ex5Q4_gbE,gmaps_v2,electronic_store,retail,N_A,1695212099,26,1600166117.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400007200467293!2y12790573749924628299!2m2!2i10!3sCAESBkVnSUlGQQ==!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.023634876011907585
ChIJazmcqkEXrjsRuqNtAyo-_XQ,Krishna jewellers,13.036654472351074,77.62337493896484,0x3bae1741aa9c396b:0x74fd3e2a036da3ba,N_A,N_A,61,4.0,https://www.google.com/maps/place/?q=place_id:ChIJazmcqkEXrjsRuqNtAyo-_XQ,gmaps_v2,jewelry_store,retail,N_A,1687847039,65,1464695686.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400264988080491!2y8429962427674502074!2m2!2i10!3sCAESBkVnSUlQQQ==!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.023618050839243624
ChIJEyx6SBIXrjsRb55yOfc-Ee0,Crescent's Al-Zam Zam Bakery,13.03225040435791,77.62142944335938,0x3bae1712487a2c13:0xed113ef739729e6f,N_A,N_A,57,4.400000095367432,https://www.google.com/maps/place/?q=place_id:ChIJEyx6SBIXrjsRb55yOfc-Ee0,gmaps_v2,coffee_shop,food,N_A,1687847039,74,1478374904.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400061478218771!2y17082504093134659183!2m2!2i10!3sCAESBkVnSUlSZw==!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.023510525636261836
ChIJ9XVwhmUXrjsRIOE6sQle1Cc,Chai Point,13.048367500305176,77.62235260009766,0x3bae1765867075f5:0x27d45e09b13ae120,chaipoint,Chai Point,62,3.700000047683716,https://www.google.com/maps/place/?q=place_id:ChIJ9XVwhmUXrjsRIOE6sQle1Cc,gmaps_v2,coffee_shop,food,tea_shop,1687847039,73,1459881474.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400419000055285!2y2870022258262991136!2m2!2i10!3sCAESBkVnSUlSZw==!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.023498285804700373
ChIJObCmwxwXrjsRCW2GUH6x6Zo,Happilyrent,13.03229522705078,77.62133026123047,0x3bae171cc3a6b039:0x9ae9b17e50866d09,N_A,N_A,29,4.699999809265137,https://www.google.com/maps/place/?q=place_id:ChIJObCmwxwXrjsRCW2GUH6x6Zo,gmaps_v2,clothing_store,retail,N_A,1687847039,35,1580362923.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400106494406713!2y11162648307489467657!2m2!2i10!3sCAESBkVnSUlIZw==!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.02331135141865985
ChIJ0xNkLQAZrjsRidvLaOMqIlQ,Frontier Food Cafe,13.064027786254885,77.6084213256836,0x3bae19002d6413d3:0x54222ae368cbdb89,N_A,N_A,23,4.800000190734863,https://www.google.com/maps/place/?q=place_id:ChIJ0xNkLQAZrjsRidvLaOMqIlQ,gmaps_v2,restaurant,food,N_A,1699615207,24,1614241272.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300402182737630163!2y6062455204598242185!2m2!2i10!3sCAESBkVnSUlGQQ==!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.02327642505877233
ChIJhV6eVWwXrjsRpvo1-j_gybc,S.Vishal Hot Chips - Nagawara Bengaluru,13.039257049560549,77.6222915649414,0x3bae176c559e5e85:0xb7c9e03ffa35faa6,N_A,N_A,49,4.300000190734863,https://www.google.com/maps/place/?q=place_id:ChIJhV6eVWwXrjsRpvo1-j_gybc,gmaps_v2,restaurant,food,N_A,1699615207,51,1517300826.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400448245751429!2y13243362744645057190!2m2!2i10!3sCAESBkVnSUlNZw==!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.02322142650940959
ChIJT4EoXwgXrjsRc9LRIhe_-9Y,"pulley cloth drying hanger, ceiling cloth hanger, pull and dry SIMRA ENTERPRISE",13.033432006835938,77.63151550292969,0x3bae17085f28814f:0xd6fbbf1722d1d273,N_A,N_A,42,5.0,https://www.google.com/maps/place/?q=place_id:ChIJT4EoXwgXrjsRc9LRIhe_-9Y,gmaps_v2,home_decor,retail,N_A,1695212099,80,1538726273.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400018909069647!2y15491185449360282227!2m2!2i10!3sCAESBkVnSUlSZw==!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.023189320673681974
