x_pixel,y_pixel,total_population,h3index_lvl11,f_0,f_1,f_10,f_15,f_20,f_25,f_30,f_35,f_40,f_45,f_5,f_50,f_55,f_60,f_65,f_70,f_75,f_80,m_0,m_1,m_10,m_15,m_20,m_25,m_30,m_35,m_40,m_45,m_5,m_50,m_55,m_60,m_65,m_70,m_75,m_80,h3index_lvl3,geometry
11325,27023,288.75955,8b61892ed688fff,2.055589,7.8626227,8.476041,10.1001215,14.529637,16.780176,13.798545,11.77872,8.843717,8.169447,8.361167,7.0288234,5.907506,4.424747,3.258175,1.9474496,1.4308076,,2.2584958,8.65374,9.328681,10.756992,16.450243,18.910635,17.314007,14.167969,10.459302,8.964901,9.191293,7.13057,6.352347,4.6782484,3.3718789,1.8986412,1.3484422,1.1897689,836189fffffffff,"POLYGON ((77.62374970457999 12.981250149080001, 77.62374970457999 12.982083482410001, 77.62291637125 12.982083482410001, 77.62291637125 12.981250149080001, 77.62374970457999 12.981250149080001))"
11335,27025,35.53243,8b61892ed4f4fff,0.25294423,0.9675111,1.0429934,1.2428397,1.7879003,2.0648336,1.697938,1.4493946,1.0882367,1.0052664,1.028858,0.8649105,0.72693014,0.5444738,0.4009248,0.2396375,0.17606367,,0.27791235,1.0648596,1.1479125,1.3236691,2.0242345,2.3269906,2.1305225,1.7433963,1.2870376,1.1031486,1.1310065,0.8774306,0.7816688,0.5756677,0.4149163,0.23363152,0.16592845,0.14640339,836189fffffffff,"POLYGON ((77.63208303788 12.97958348242, 77.63208303788 12.98041681575, 77.63124970455 12.98041681575, 77.63124970455 12.97958348242, 77.63208303788 12.97958348242))"
11313,26984,470.29715,8b61892eb70afff,3.3478982,12.805702,13.804766,16.449875,23.664143,27.329552,22.473425,19.183777,14.403592,13.305422,13.617673,11.44771,9.621442,7.206501,5.306527,3.171774,2.330329,,3.6783688,14.094181,15.193444,17.519709,26.792194,30.799389,28.198992,23.075098,17.034864,14.600963,14.969682,11.613423,10.345946,7.619374,5.4917145,3.0922806,2.196182,1.9377538,836189fffffffff,"POLYGON ((77.61374970461999 13.013750148949999, 77.61374970461999 13.014583482279999, 77.61291637129 13.014583482279999, 77.61291637129 13.013750148949999, 77.61374970461999 13.013750148949999))"
11315,26988,482.57928,8b61892eb0f2fff,3.4353309,13.140132,14.165286,16.879475,24.282146,28.043282,23.060335,19.684774,14.779752,13.652903,13.973308,11.746675,9.872712,7.3947034,5.445111,3.254607,2.391187,,3.774432,14.46226,15.590232,17.977247,27.491892,31.603737,28.935429,23.677721,17.479742,14.982277,15.360625,11.916716,10.6161375,7.818359,5.635134,3.1730378,2.2535367,1.9883596,836189fffffffff,"POLYGON ((77.61541637127999 13.010416815630002, 77.61541637127999 13.011250148960002, 77.61458303795 13.011250148960002, 77.61458303795 13.010416815630002, 77.61541637127999 13.010416815630002))"
11306,26997,258.85895,8b60145b6d96fff,1.8427359,7.04846,7.59836,9.05427,13.025116,15.042615,12.369727,10.559052,7.9279637,7.3235135,7.4953814,6.3009996,5.2957926,3.9665713,2.920796,1.7457942,1.2826496,,2.024632,7.757659,8.362711,9.643123,14.746845,16.952469,15.521169,12.700897,9.376258,8.036599,8.239549,6.3922105,5.6945715,4.1938233,3.022726,1.7020398,1.2088131,1.0665702,836014fffffffff,"POLYGON ((77.60791637131 13.00291681566, 77.60791637131 13.003750148990001, 77.60708303798 13.003750148990001, 77.60708303798 13.00291681566, 77.60791637131 13.00291681566))"
11313,27022,486.53845,8b61892e9128fff,3.463515,13.247936,14.281501,17.017956,24.481361,28.273354,23.249525,19.846272,14.901008,13.764914,14.087947,11.843046,9.95371,7.455371,5.4897833,3.2813082,2.4108047,,3.8053982,14.580911,15.718137,18.124737,27.71744,31.863018,29.172821,23.871977,17.62315,15.105194,15.486647,12.0144825,10.703234,7.882502,5.681366,3.1990697,2.272025,2.0046723,836189fffffffff,"POLYGON ((77.61374970461999 12.982083482410001, 77.61374970461999 12.982916815740001, 77.61291637129 12.982916815740001, 77.61291637129 12.982083482410001, 77.61374970461999 12.982083482410001))"
11323,26986,412.55652,8b61892eb529fff,2.9368608,11.233485,12.109888,14.430244,20.758781,23.974173,19.714256,16.828491,12.635195,11.671852,11.9457655,10.04222,8.440171,6.3217244,4.6550193,2.78236,2.0442233,,3.226758,12.3637705,13.328073,15.36873,23.502789,27.018,24.736868,20.242058,14.943413,12.808332,13.131783,10.187588,9.075725,6.683907,4.8174706,2.7126265,1.9265462,1.6998465,836189fffffffff,"POLYGON ((77.62208303791999 13.012083482289999, 77.62208303791999 13.012916815619999, 77.62124970459 13.012916815619999, 77.62124970459 13.012083482289999, 77.62208303791999 13.012083482289999))"
11299,27018,478.87793,8b61892e9209fff,3.408982,13.039349,14.05664,16.75001,24.095905,27.828192,22.883463,19.533792,14.666392,13.548185,13.866134,11.656578,9.7969885,7.3379865,5.403347,3.2296443,2.3728468,,3.7454822,14.351336,15.470655,17.839363,27.28103,31.361338,28.713495,23.496115,17.345675,14.867363,15.24281,11.8253145,10.534712,7.758393,5.591913,3.1487007,2.2362523,1.9731089,836189fffffffff,"POLYGON ((77.60208303799999 12.985416815730002, 77.60208303799999 12.986250149060002, 77.60124970467 12.986250149060002, 77.60124970467 12.985416815730002, 77.60208303799999 12.985416815730002))"
11303,27005,424.83652,8b61892e96defff,3.0242782,11.567857,12.470346,14.85977,21.37668,24.687778,20.301064,17.329403,13.011289,12.019272,12.301339,10.341132,8.691398,6.5098944,4.7935786,2.8651786,2.1050708,,3.3228045,12.731786,13.724791,15.826189,24.202364,27.822208,25.473175,20.844576,15.388213,13.18958,13.522657,10.490828,9.345869,6.8828573,4.9608655,2.7933695,1.983891,1.7504435,836189fffffffff,"POLYGON ((77.60541637131999 12.99625014902, 77.60541637131999 12.99708348235, 77.60458303799 12.99708348235, 77.60458303799 12.99625014902, 77.60541637131999 12.99625014902))"
11295,27011,518.2811,8b60145b695efff,3.6894813,14.112256,15.213253,18.128239,26.078571,30.11796,24.766369,21.141079,15.873178,14.662962,15.0070715,12.615709,10.603108,7.9417734,5.847947,3.4953868,2.5680902,,4.0536695,15.532197,16.743618,19.307228,29.525778,33.941822,31.076109,25.42943,18.772917,16.090685,16.497025,12.798329,11.401533,8.396771,6.052029,3.407783,2.4202564,2.1354609,836014fffffffff,"POLYGON ((77.59874970467999 12.991250149039999, 77.59874970467999 12.992083482369999, 77.59791637135 12.992083482369999, 77.59791637135 12.991250149039999, 77.59874970467999 12.991250149039999))"
11370,26986,38.905697,8b61892c5948fff,0.27695748,1.0593617,1.14201,1.3608286,1.9576344,2.2608583,1.8591316,1.5869927,1.1915483,1.1007013,1.1265326,0.94702065,0.79594123,0.5961634,0.43898657,0.26238745,0.19277826,,0.30429593,1.1659521,1.2568895,1.4493314,2.2164052,2.5479033,2.3327835,1.9089055,1.4092225,1.207876,1.2383785,0.9607294,0.8558764,0.63031864,0.45430633,0.2558113,0.18168086,0.16030219,836189fffffffff,"POLYGON ((77.66124970442999 13.012083482289999, 77.66124970442999 13.012916815619999, 77.6604163711 13.012916815619999, 77.6604163711 13.012083482289999, 77.66124970442999 13.012083482289999))"
11316,27004,487.85815,8b61892e9498fff,3.4729095,13.283871,14.320239,17.064116,24.547766,28.350044,23.312588,19.900103,14.941426,13.80225,14.12616,11.87517,9.980708,7.475593,5.504674,3.2902086,2.4173439,,3.81572,14.6204605,15.760771,18.173899,27.792622,31.949446,29.25195,23.936728,17.67095,15.146166,15.528653,12.0470705,10.732266,7.903883,5.6967764,3.2077472,2.278188,2.01011,836189fffffffff,"POLYGON ((77.61624970460998 12.99708348235, 77.61624970460998 12.99791681568, 77.61541637127999 12.99791681568, 77.61541637127999 12.99708348235, 77.61624970460998 12.99708348235))"
11331,26996,432.16116,8b61892e8688fff,3.07642,11.7673,12.685349,15.115969,21.745237,25.113422,20.651075,17.62818,13.235618,12.226497,12.513428,10.519425,8.841248,6.622132,4.8762255,2.9145775,2.1413646,,3.380093,12.951296,13.961421,16.09905,24.619638,28.301893,25.912361,21.203959,15.6535225,13.416983,13.755803,10.6717005,9.507002,7.0015254,5.0463963,2.8415303,2.0180955,1.780623,836189fffffffff,"POLYGON ((77.62874970456 13.003750148990001, 77.62874970456 13.004583482320001, 77.62791637123 13.004583482320001, 77.62791637123 13.003750148990001, 77.62874970456 13.003750148990001))"
11322,26981,365.6495,8b61892eb411fff,2.6029444,9.956256,10.733013,12.789549,18.398542,21.248346,17.472776,14.915119,11.198593,10.344781,10.587551,8.900435,7.4805374,5.6029544,4.125751,2.46601,1.8117983,,2.8598807,10.95803,11.812693,13.62133,20.830559,23.946096,21.924326,17.940569,13.244371,11.352046,11.63872,9.029275,8.043829,5.9239573,4.2697315,2.4042053,1.707501,1.5065767,836189fffffffff,"POLYGON ((77.62124970458999 13.01625014894, 77.62124970458999 13.01708348227, 77.62041637125999 13.01708348227, 77.62041637125999 13.01625014894, 77.62124970458999 13.01625014894))"
11321,26995,490.03088,8b61892eb899fff,3.4883766,13.343032,14.384015,17.140114,24.657093,28.476303,23.416414,19.98873,15.007969,13.863719,14.189073,11.928058,10.025159,7.5088863,5.5291896,3.3048618,2.42811,,3.8327138,14.685575,15.830963,18.254837,27.916399,32.091736,29.382227,24.043333,17.749651,15.213621,15.597812,12.100724,10.780064,7.9390836,5.7221475,3.2220333,2.2883341,2.0190623,836189fffffffff,"POLYGON ((77.62041637125999 13.004583482320001, 77.62041637125999 13.005416815650001, 77.61958303793 13.005416815650001, 77.61958303793 13.004583482320001, 77.62041637125999 13.004583482320001))"
11361,26984,40.258854,8b61892c5a2dfff,0.2865902,1.0962068,1.1817296,1.4081588,2.0257218,2.339492,1.923793,1.642189,1.232991,1.1389842,1.1657138,0.9799585,0.8236244,0.6168982,0.45425472,0.2715134,0.19948317,,0.31487948,1.2065043,1.3006047,1.4997399,2.2934926,2.6365206,2.4139187,1.975298,1.4582357,1.2498864,1.2814499,0.994144,0.88564414,0.65224135,0.47010732,0.26470855,0.1879998,0.16587757,836189fffffffff,"POLYGON ((77.65374970446 13.013750148949999, 77.65374970446 13.014583482279999, 77.65291637113 13.014583482279999, 77.65291637113 13.013750148949999, 77.65374970446 13.013750148949999))"
11358,26970,37.550285,8b61892c5285fff,0.26730874,1.0224552,1.1022241,1.3134196,1.8894336,2.1820939,1.7943624,1.5317045,1.1500368,1.0623547,1.087286,0.914028,0.7682119,0.575394,0.42369297,0.2532463,0.18606219,,0.29369473,1.1253321,1.2131015,1.3988391,2.1391892,2.4591386,2.2515132,1.8424023,1.3601274,1.1657956,1.1952355,0.92725915,0.82605904,0.60835934,0.43847904,0.24689926,0.1753514,0.15471752,836189fffffffff,"POLYGON ((77.65124970446999 13.02541681557, 77.65124970446999 13.0262501489, 77.65041637114 13.0262501489, 77.65041637114 13.02541681557, 77.65124970446999 13.02541681557))"
